CATCHMENT,Unnamed: 1,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Dunstan,Lake_Cobb,Lake_Coleridge,Lake_Hawea,Lake_Karapiro,Lakes_Manapouri_Te_Anau,Mangahao_head,Lake_Maraetai,Lake_Matahina,Lake_Pukaki,Lake_Tekapo,Lake_Ohakuri,Lake_Ohau,Lake_Moawhango,Lake_Roxburgh,Lake_Taupo,Lake_Rotoaira,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru
1932,17,3.9445714,1.9962857,4.9425714,2.7922857,33.6405714,190.363,8.1888571,25.8841429,44.6221429,13.3788571,637.4501429,6.8988571,10.6418571,55.266,105.4872857,53.0901429,23.9564286,63.2337143,22.9214286,6.4964286,94.6462857,30.8655714,8.465,4.1052857,6.6272857,183.4878571,8.1142857
1932,18,4.086,2.0678571,5.1198571,1.7528571,21.1181429,178.8394286,6.7497143,19.459,38.9558571,13.8585714,160.0255715,5.5454286,11.0235714,49.9488571,61.9882857,47.9242857,24.8158571,39.6964286,15.0424286,6.103,62.3492857,18.725,63.4008571,4.2528571,4.1602857,168.6148571,8.4052857
1932,19,3.8275714,1.9371429,4.7961429,2.0104286,24.217,158.014,8.427,26.9471429,34.5184286,12.9822857,394.1971428,8.2232857,10.3267143,68.1424286,65.3504286,42.2551429,23.2464286,45.5207143,39.0531429,5.3924286,133.797,57.5057143,16.9215714,3.9838571,4.7708571,150.5671429,7.8738571
1932,20,5.4894286,2.7785714,6.8788571,2.657,32.0114286,138.8397143,8.1495714,25.7084286,52.6174286,18.62,159.7495714,3.706,14.8107143,61.6741429,83.3685714,63.2754286,33.3411429,60.1711429,31.3087143,4.738,154.836,44.2668571,23.9912857,5.7138571,6.3061429,153.0881429,11.2931429
1932,21,4.9945714,2.5277143,6.2584286,1.8641429,22.4575714,115.4178571,5.3432857,13.18,15.1531429,16.9411429,336.7448571,5.1251429,13.4754286,53.2364286,57.9065714,36.789,30.335,42.2127143,19.4265714,3.9388571,76.9242857,26.0711429,17.9845714,5.1985714,4.4242857,144.5202857,10.2747143
1932,22,4.8412857,2.4501429,6.0661429,1.4758571,17.7797143,110.4168571,4.6255714,9.9764286,8.009,16.4202857,303.9052857,1.4565714,13.0611429,52.3778571,45.5965714,26.7112857,29.4022857,33.421,18.8361429,3.7681429,77.412,24.292,12.2681429,5.0385714,3.5022857,128.6932857,9.9587143
1932,23,4.98,2.5205714,6.2401429,1.736,20.911,107.845,4.718,10.3878571,8.009,16.8914286,218.8862857,6.0225714,13.436,58.727,53.3828571,17.3051429,30.2458571,39.307,27.623,3.6804286,114.269,38.395,5.797,5.1832857,4.119,110.7235714,10.2445714
1932,24,4.446,2.2501429,5.5711429,1.736,20.911,93.3447143,4.4187143,9.0518571,8.009,15.0805714,151.0865714,6.392,11.9954286,60.2537143,53.1021429,27.6331429,27.003,39.307,29.5117143,3.1852857,113.3167143,41.4911429,5.6967143,4.6275714,4.119,107.7947143,9.146
1932,25,7.7652857,3.9301429,9.7302857,1.6772857,20.204,81.791,4.2781429,8.425,8.009,26.3387143,233.6027143,16.955,20.9505714,88.052,50.9161429,31.6325714,47.1625714,37.978,59.7061429,2.791,269.6467143,98.7587143,16.4674286,8.0824286,3.9798571,102.398,15.9745714
1932,26,7.6267143,3.8602857,9.5568571,1.0252857,12.3522857,74.9461429,5.1572857,12.3494286,17.7092857,25.8684286,251.6728571,8.6955714,20.5765714,84.2058571,30.8527143,32.2894286,46.3208571,23.219,58.0725714,2.5575714,261.0612857,90.6384286,15.2821429,7.9378571,2.4334286,103.1455714,15.6892857
1932,27,5.64,2.8544286,7.0674286,1.0718571,12.9164286,76.7008571,4.1994286,8.0728571,24.0128571,19.13,277.9324286,6.4911429,15.2165714,56.8064286,31.9548571,18.4238571,34.2542857,24.2785714,25.6614286,2.6175714,122.6777143,34.5435714,8.3194286,5.8701429,2.5447143,91.133,11.6022857
1932,28,5.4818571,2.7744286,6.869,0.765,9.218,32.8227143,4.2887143,8.4724286,24.0131429,18.593,197.4465714,7.9211429,14.7897143,75.3838571,22.6277143,22.0097143,33.293,17.327,47.6921429,1.1201429,209.4928571,72.5518571,10.7421429,5.7054286,1.8158571,87.1247143,11.2765714
1932,29,5.5724286,2.82,6.9824286,0.961,11.583,33.9717143,3.965,7.0268571,18.6535714,18.9005714,76.93,1.4635714,15.0338571,57.1478571,28.3577143,10.7647143,33.8434286,21.772,26.2167143,1.1594286,100.5842857,35.3557143,10.2818571,5.7998571,2.282,71.7455714,11.463
1932,30,4.7584286,2.4081429,5.9622857,0.951,11.4624286,68.0337143,4.0572857,7.4377143,12.8714286,16.1388571,66.2658572,3.1564286,12.8374286,61.9892857,28.1612857,17.0135714,28.8987143,21.5455714,32.1688571,2.3217143,137.8872857,45.3431429,14.0304286,4.9522857,2.2582857,51.2034286,9.7881429
1932,31,3.7654286,1.9057143,4.7182857,0.247,2.9731429,90.0308571,3.6781429,5.746,11.4455714,12.7718571,143.1724286,6.7745714,10.1591429,50.6095714,7.3278571,11.5398571,22.8691429,5.5884286,18.5302857,3.0724286,78.648,21.9004286,27.185,3.919,0.5854286,40.6218571,7.746
1932,32,4.1332857,2.0918571,5.1791429,0.3565714,4.2958571,106.8755714,3.6431429,5.5902857,12.3478571,14.0191429,93.2545715,4.4382857,11.1511429,50.6485714,10.6292857,11.9142857,25.103,8.075,17.7951429,3.6471429,70.3611429,22.2222857,8.373,4.302,0.8462857,40.8938571,8.5025714
1932,33,3.2782857,1.6591429,4.1077143,1.2941429,15.5938571,89.5485714,5.0667143,11.9452857,25.4922857,11.1191429,232.8242857,10.5561429,8.8445714,63.3965714,38.3692857,48.2192857,19.9104286,29.3118571,33.3511429,3.056,113.0792857,47.9117143,36.5277143,3.412,3.0721429,50.6571429,6.7435714
1932,34,3.8232857,1.935,4.7905714,0.5595714,6.7425714,98.4495714,4.2124286,8.1315714,16.678,12.9674286,259.1998571,5.4148571,10.3144286,61.6387143,16.2545714,20.8681429,23.2194286,12.674,31.0802857,3.3597143,145.0195714,44.4085714,25.4598571,3.979,1.3284286,68.7867143,7.8647143
1932,35,4.377,2.2151429,5.4845714,1.8998571,22.8888571,110.3001429,5.6834286,14.6982857,27.6745714,14.846,473.2954286,26.9195714,11.8088571,68.0115714,52.9688571,31.4611429,26.5831429,43.0238571,38.8032857,3.7641429,166.3407143,57.3277143,16.7105714,4.5558571,4.5091429,99.1945714,9.0041429
1932,36,4.0378571,2.0437143,5.0597143,1.0584286,12.7504286,119.5407143,7.1272857,21.1441429,40.7824286,13.696,496.5165714,10.471,10.8942857,61.3747143,28.8697143,49.5037143,24.524,23.9678571,30.7222857,4.0794286,128.9507143,43.9184286,11.5132857,4.2027143,2.5118571,119.4987143,8.3064286
1932,37,4.3937143,2.2238571,5.5057143,1.1854286,14.285,161.2697143,6.4775714,18.2435714,33.0442857,14.9032857,516.7855714,2.0592857,11.8542857,54.8622857,31.218,15.8268571,26.6858571,26.8512857,22.7704286,5.5034286,92.967,30.7598571,7.6165714,4.5732857,2.8142857,103.8552857,9.0387143
1932,38,4.7645714,2.4114286,5.9702857,1.211,14.593,164.4495714,6.3502857,17.6751429,33.4714286,16.161,282.4938571,3.0975714,12.8551429,61.694,31.501,48.1055714,28.9381429,27.43,31.103,5.6121429,131.109,44.567,20.534,4.959,2.875,102.5695714,9.8015714
1932,39,4.6501429,2.3535714,5.8271429,1.211,14.593,135.8067143,5.4427143,13.6235714,25.5827143,15.7727143,170.589,8.6912857,12.546,68.5258571,31.438,25.7782857,28.2425714,27.43,39.4264286,4.6345714,169.6422857,58.391,20.3865714,4.8398571,2.875,101.1058571,9.5661429
1932,40,4.827,2.443,6.0485714,1.211,14.593,147.6167143,6.4505714,18.124,33.6742857,16.3721429,396.0284285,6.0925714,13.0227143,61.694,31.371,25.0594286,29.3161429,27.43,31.103,5.0375714,131.109,44.567,26.3048571,5.024,2.875,103.7378571,9.9297143
1932,41,4.6177143,2.3371429,5.7861429,5.2104286,62.7778571,128.3262857,9.204,30.4152857,131.3521429,15.6621429,683.1104285,10.454,12.4581429,67.4498571,134.6801429,85.9808571,28.0451429,118.0031429,38.086,4.3791429,148.9922857,56.1912857,12.5171429,4.8061429,12.3674286,254.8361429,9.4991429
1932,42,4.3311429,2.1921429,5.4272857,3.592,43.278,163.7921429,11.6625714,41.392,67.2115714,14.6907143,321.2977143,9.4925714,11.6852857,70.1045714,93.4914286,71.6308571,26.3052857,81.35,41.3807143,5.5898571,187.4724286,61.6104286,11.3811429,4.5078571,8.526,280.0878571,8.91
1932,43,5.2427143,2.6535714,6.5694286,2.5225714,30.3922857,192.4271429,14.4375714,53.7791429,63.0622857,17.783,202.6215715,10.1802857,14.1451429,76.7122857,66.9625714,78.6044286,31.8422857,57.1287143,49.266,6.567,220.1734286,75.2837143,16.6424286,5.4567143,5.9874286,240.0601429,10.7854286
1932,44,5.2252857,2.6445714,6.5472857,2.928,35.277,199.6248571,13.7828571,50.856,57.4051429,17.7225714,339.761,8.5811429,14.0971429,70.7035714,79.179,62.8228571,31.7344286,66.31,42.0874286,6.8124286,181.2928571,62.8118571,10.2277143,5.4384286,6.95,206.8961429,10.7487143
1932,45,4.4275714,2.2408571,5.5481429,3.503,42.2067143,204.4718571,11.4328571,40.3648571,58.0688571,15.0177143,542.2071428,10.1984286,11.9455714,64.481,104.823,73.4092857,26.8912857,79.3357143,34.59,6.9775714,146.774,50.189,4.8124286,4.6082857,8.3145714,198.4242857,9.1082857
1932,46,4.1177143,2.0841429,5.1595714,2.8212857,33.9924286,195.35,8.515,27.3391429,50.0898571,13.9664286,300.0715715,5.9421429,11.1091429,64.2187143,103.4417143,52.5057143,25.0081429,63.8955714,34.2534286,6.6665714,145.6627143,49.6558571,4.7814286,4.2858571,6.6964286,181.0171429,8.4705714
1932,47,2.9972857,1.5168571,3.7558571,8.2761429,99.713,206.516,9.1587143,30.2138571,72.354,10.166,802.922,12.9435714,8.0862857,51.2128571,223.8914286,92.7248571,18.2035714,187.4304286,19.6975714,7.0474286,86.9751429,23.4102857,1.1004286,3.1197143,19.6434286,170.0435714,6.1658571
1932,48,3.0122857,1.5245714,3.7747143,4.4465714,53.5715714,304.282,9.0938571,29.9235714,163.0917143,10.2172857,742.9695714,7.4485714,8.127,52.3011429,234.77,177.4445714,18.2952857,100.6987143,20.4885714,10.384,80.1884286,24.5384286,2.0018571,3.1354286,10.5537143,315.2211429,6.1968571
1932,49,3.8951429,1.9714286,4.8808571,4.8171429,58.0372857,250.3414286,6.8528571,19.9187143,55.1604286,13.2115714,215.3474286,9.8028571,10.5088571,51.6462857,131.6918571,70.9731429,23.6565714,109.0927143,19.7344286,8.543,61.3885714,21.1877143,1.0138571,4.054,11.4331429,268.7534286,8.0128571
1932,50,4.885,2.4724286,6.1211429,3.8851429,46.8058571,241.011,10.3398571,35.486,102.451,16.5692857,409.7258572,7.3175714,13.1798571,55.538,158.4685714,100.9692857,29.6691429,87.9804286,23.5472857,8.2247143,90.9295714,30.3322857,4.877,5.0842857,9.221,273.5454286,10.0491429
1932,51,4.606,2.3312857,5.7715714,3.8588571,46.4965714,186.5628571,6.1061429,16.5861429,55.6707143,15.6227143,211.7978572,3.989,12.4267143,60.1027143,152.837,80.9177143,27.974,87.3994286,29.277,6.3667143,127.273,41.3768571,1.1832857,4.794,9.1602857,260.502,9.4748571
1932,52,4.4848889,2.2698889,5.6197778,3.975,47.896,155.742,7.6657778,23.549,64.7166667,15.2117778,343.7237778,6.2593333,12.1001111,56.3823333,217.2542222,115.8771111,27.2385556,90.03,24.6754444,5.315,96.3304444,32.4207778,4.0232222,4.6678889,9.436,237.455,9.2258889
1933,1,4.7268571,2.3925714,5.9232857,3.5177143,42.3844286,250.8577143,5.1831429,12.4645714,56.4531429,16.0334286,446.9714285,8.2457143,12.7532857,54.784,207.9018571,111.4655714,28.7097143,79.6701429,22.2945714,8.5608571,106.0784286,29.1354286,1.7774286,4.92,8.35,188.1198571,9.7241429
1933,2,4.2931429,2.1728571,5.3795714,2.5248571,30.4188571,229.7945714,4.7215714,10.4042857,33.8341429,14.5614286,239.4117142,3.9565714,11.5827143,59.5764286,164.0595714,74.1642857,26.0742857,57.1782857,28.6741429,7.8417143,104.2854286,40.2992857,0.8705714,4.4684286,5.9927143,181.548,8.8315714
1933,3,5.394,2.73,6.759,3.3178571,39.9735714,189.2661429,5.2064286,12.5688571,44.9431429,18.2954286,145.1091429,5.6637143,14.5528571,67.3227143,201.7777143,106.4814286,32.7604286,75.138,37.9845714,6.4588571,162.7901429,55.8774286,5.1155714,5.6142857,7.8751429,181.548,11.0964286
1933,4,4.3148571,2.184,5.4068571,3.7771429,45.5098571,166.1115714,5.5698571,14.1924286,37.0572857,14.6355714,141.6452857,5.5594286,11.6415714,53.6591429,167.4395714,78.0675714,26.2067143,85.5447143,21.0581429,5.6688571,89.684,26.9405714,7.6025714,4.4911429,8.9651429,175.6314286,8.8764286
1933,5,1.9458571,0.9848571,2.4384286,9.3924286,113.1641429,185.4675714,8.782,28.5315714,144.3524286,6.6004286,753.8388572,11.0464286,5.2498571,66.462,620.8365714,341.5715714,11.8185714,212.7142857,36.91,6.3292857,138.5878571,54.1224286,2.1317143,2.0254286,22.2934286,285.5644286,4.0031429
1933,6,3.6537143,1.8492857,4.5781429,4.3195714,52.0427143,248.6861429,9.6478571,32.3972857,54.1868571,12.3925714,229.6081429,6.5021429,9.8571429,67.9682857,270.9738571,125.0024286,22.1901429,97.8242857,38.7962857,8.4867143,180.677,57.1897143,26.3025714,3.8027143,10.2525714,299.7342857,7.516
1933,7,3.3232857,1.682,4.1641429,5.3652857,64.6428571,227.6544286,9.0478571,29.7185714,71.5622857,11.2715714,810.0662857,5.8898571,8.9658571,60.7924286,229.458,132.4535714,20.1831429,121.5094286,30.0201429,7.769,125.6524286,42.6892857,4.8737143,3.4588571,12.7348571,263.9544286,6.8362857
