scenario,techs,2020,2025,2030,2035,2040,2045,2050
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Total,37.065,37.355,37.685,37.713,37.779,37.756,37.786
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,9.673,9.681,9.681,9.686,9.707,9.698,9.696
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.015,0.015,0.015,0.015,0.015,0.015,0.015
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.017,0.017,0.017,0.017,0.017,0.017,0.017
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.037,0.037,0.037,0.037,0.037,0.037,0.037
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.056,0.056,0.056,0.056,0.056,0.056,0.056
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.072,0.072,0.072,0.072,0.072,0.072,0.072
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,0.038,0.041,0.049,0.056,0.063,0.056,0.056
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,0.066,0.071,0.069,0.071,0.080,0.076,0.075
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.098,0.098,0.098,0.098,0.098,0.098,0.098
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.127,0.127,0.127,0.127,0.127,0.127,0.127
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Battery,2.173,2.173,2.175,2.174,2.180,2.180,2.183
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,CCGT,2.202,2.202,2.202,2.202,2.202,2.202,2.202
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,DAC,0.440,0.440,0.440,0.441,0.441,0.441,0.441
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.293,0.293,0.349,0.353,0.357,0.357,0.386
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.440,0.440,0.440,0.442,0.442,0.442,0.442
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,GT,2.202,2.202,2.202,2.202,2.202,2.202,2.202
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Geothermal,0.004,0.004,0.004,0.004,0.004,0.004,0.004
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,0.255,0.260,0.264,0.264,0.264
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,0.273,0.283,0.287,0.289,0.297,0.303
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.312,0.312,0.312,0.312,0.312,0.312,0.312
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Hydro,9.562,9.562,9.562,9.562,9.562,9.562,9.562
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.440,0.440,0.440,0.441,0.442,0.442,0.442
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,OCGT,2.201,2.201,2.201,2.201,2.201,2.201,2.201
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Total,37.065,37.355,37.686,37.712,37.752,37.759,37.798
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,9.673,9.681,9.681,9.686,9.700,9.699,9.702
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.015,0.015,0.015,0.015,0.015,0.015,0.015
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.017,0.017,0.017,0.017,0.017,0.017,0.017
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.037,0.037,0.037,0.037,0.037,0.037,0.037
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.056,0.056,0.056,0.056,0.056,0.056,0.056
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.072,0.072,0.072,0.072,0.072,0.072,0.072
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,0.038,0.041,0.050,0.056,0.058,0.057,0.057
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,0.066,0.071,0.069,0.071,0.076,0.076,0.075
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.098,0.098,0.098,0.098,0.098,0.098,0.098
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.127,0.127,0.127,0.127,0.127,0.127,0.127
