scenario,2020,2025,2030,2035,2040,2045,2050
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,25.351,19.142,14.111,8.184,3.277,0.822,0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,25.351,18.433,12.885,7.435,1.880,0.496,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,25.351,19.713,15.127,8.911,4.087,1.360,-0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,25.351,18.857,14.085,8.468,2.294,0.479,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,25.351,19.072,13.735,8.411,4.151,1.276,0.000
