Scenario,Sector,Fuel,Region,2020,2025,2030,2035,2040,2045,2050
ELEC,Heat,E-fuel (LF),GIS,0.0,0.0,0.02,0.08,0.17,0.11,0.0
ELEC,Heat,E-fuel (LF),HBY,0.0,0.0,0.75,3.69,7.77,5.06,0.0
ELEC,Heat,E-fuel (LF),NEL,0.0,0.0,2.01,9.9,20.88,13.62,0.0
ELEC,Heat,E-fuel (LF),NIS,0.0,0.0,0.07,0.37,0.78,0.51,0.0
ELEC,Heat,E-fuel (LF),OTG,0.0,0.0,0.21,1.01,2.13,1.38,0.0
ELEC,Heat,E-fuel (LF),WEL,0.0,0.0,0.06,0.29,0.61,0.4,0.0
ELEC,Heat,E-fuel (LF),WTO,0.0,0.0,1.36,6.66,14.03,9.15,0.0
ELEC,Heat,E-fuel (gas),AKL,0.0,0.0,22.86,121.87,320.6,135.75,0.0
ELEC,Heat,E-fuel (gas),BOP,0.0,0.0,7.01,38.65,101.68,43.05,0.0
ELEC,Heat,E-fuel (gas),CAN,0.0,0.0,50.3,289.06,760.4,321.98,0.0
ELEC,Heat,E-fuel (gas),CEN,0.0,0.0,24.2,139.56,367.14,155.46,0.0
ELEC,Heat,E-fuel (gas),GIS,0.0,0.0,0.59,3.1,8.15,3.45,0.0
ELEC,Heat,E-fuel (gas),HBY,0.0,0.0,6.74,38.15,100.37,42.5,0.0
ELEC,Heat,E-fuel (gas),NEL,0.0,0.0,3.64,20.19,53.07,22.47,0.0
ELEC,Heat,E-fuel (gas),NIS,0.0,0.0,6.96,39.31,103.4,43.78,0.0
ELEC,Heat,E-fuel (gas),OTG,0.0,0.0,28.86,166.22,437.26,185.15,0.0
ELEC,Heat,E-fuel (gas),TRN,0.0,0.0,55.86,325.34,855.84,362.39,0.0
ELEC,Heat,E-fuel (gas),WEL,0.0,0.0,2.55,11.31,29.75,12.6,0.0
ELEC,Heat,E-fuel (gas),WTO,0.0,0.0,29.72,170.18,447.68,189.56,0.0
ELEC,Heat,Electricity,AKL,4974.12,7136.38,9265.44,10671.44,11804.0,12881.2,13650.38
ELEC,Heat,Electricity,BOP,2052.1,2603.75,3211.45,3794.16,4371.47,4926.94,5155.16
ELEC,Heat,Electricity,CAN,2256.71,3153.12,4051.8,4690.35,5231.52,5747.84,6074.67
ELEC,Heat,Electricity,CEN,902.63,1242.64,1587.36,1842.91,2065.36,2277.91,2403.79
ELEC,Heat,Electricity,GIS,144.63,208.65,271.47,312.34,344.9,375.85,398.52
ELEC,Heat,Electricity,HBY,612.08,847.58,1085.26,1258.52,1407.76,1550.29,1636.93
ELEC,Heat,Electricity,NEL,435.69,634.35,828.19,951.27,1047.48,1138.81,1208.61
ELEC,Heat,Electricity,NIS,873.14,1154.73,1450.56,1698.13,1928.61,2149.66,2259.04
ELEC,Heat,Electricity,OTG,1294.64,1766.81,2248.91,2615.56,2939.63,3249.56,3426.05
ELEC,Heat,Electricity,TRN,2835.44,3291.32,3887.39,4694.95,5591.69,6459.13,6694.3
ELEC,Heat,Electricity,WEL,1403.65,2059.68,2696.94,3093.34,3398.11,3687.13,3916.19
ELEC,Heat,Electricity,WTO,4226.6,5191.77,6307.39,7508.93,8753.29,9953.15,10378.45
ELEC,Heat,Fossil (LF),AKL,99.18,98.38,84.79,47.42,9.0,1.06,0.0
ELEC,Heat,Fossil (LF),BOP,16.94,16.8,14.48,8.1,1.54,0.18,0.0
ELEC,Heat,Fossil (LF),CAN,186.82,185.31,159.72,89.33,16.96,2.0,0.0
ELEC,Heat,Fossil (LF),CEN,14.95,14.83,12.78,7.15,1.36,0.16,0.0
ELEC,Heat,Fossil (LF),GIS,0.93,0.92,0.79,0.44,0.08,0.01,0.0
ELEC,Heat,Fossil (LF),HBY,42.15,41.81,36.03,20.15,3.83,0.45,0.0
ELEC,Heat,Fossil (LF),NEL,113.28,112.35,96.84,54.15,10.29,1.2,0.0
ELEC,Heat,Fossil (LF),NIS,4.21,4.17,3.6,2.01,0.38,0.04,0.0
ELEC,Heat,Fossil (LF),OTG,11.56,11.46,9.88,5.53,1.04,0.13,0.0
ELEC,Heat,Fossil (LF),WEL,3.31,3.28,2.83,1.58,0.3,0.04,0.0
ELEC,Heat,Fossil (LF),WTO,76.12,75.51,65.08,36.4,6.91,0.81,0.0
ELEC,Heat,Fossil (gas),AKL,4002.52,2847.69,1097.05,666.23,157.83,12.07,0.0
ELEC,Heat,Fossil (gas),BOP,950.25,711.83,336.28,211.3,50.06,3.83,0.0
ELEC,Heat,Fossil (gas),CAN,4353.21,3672.87,2414.35,1580.19,374.35,28.62,0.0
ELEC,Heat,Fossil (gas),CEN,1984.64,1703.09,1161.42,762.94,180.74,13.82,0.0
ELEC,Heat,Fossil (gas),GIS,113.19,79.25,28.31,16.94,4.01,0.31,0.0
ELEC,Heat,Fossil (gas),HBY,706.87,564.1,323.51,208.58,49.41,3.78,0.0
ELEC,Heat,Fossil (gas),NEL,474.92,358.92,174.79,110.31,26.13,2.01,0.0
ELEC,Heat,Fossil (gas),NIS,744.44,590.86,333.88,214.88,50.91,3.89,0.0
ELEC,Heat,Fossil (gas),OTG,2431.62,2069.09,1385.7,908.65,215.26,16.46,0.0
ELEC,Heat,Fossil (gas),TRN,3917.61,3545.18,2681.51,1778.51,421.34,32.21,0.0
ELEC,Heat,Fossil (gas),WEL,941.49,605.99,122.6,61.82,14.64,1.12,0.0
ELEC,Heat,Fossil (gas),WTO,2709.56,2250.28,1426.77,930.32,220.4,16.85,0.0
ELEC,Heat,Geothermal,AKL,19.13,21.17,22.91,24.31,25.35,26.03,26.38
ELEC,Heat,Geothermal,BOP,1329.42,1329.65,1318.81,1295.6,1261.06,1217.9,1168.54
ELEC,Heat,Geothermal,CAN,7.64,8.45,9.15,9.72,10.13,10.4,10.54
ELEC,Heat,Geothermal,CEN,2.83,3.13,3.39,3.6,3.75,3.85,3.9
ELEC,Heat,Geothermal,GIS,0.57,0.63,0.68,0.72,0.76,0.78,0.79
ELEC,Heat,Geothermal,HBY,1.98,2.19,2.37,2.52,2.62,2.69,2.73
ELEC,Heat,Geothermal,NEL,1.79,1.98,2.15,2.27,2.37,2.43,2.47
ELEC,Heat,Geothermal,NIS,2.16,2.39,2.58,2.74,2.86,2.94,2.98
ELEC,Heat,Geothermal,OTG,3.87,4.28,4.63,4.92,5.13,5.26,5.33
ELEC,Heat,Geothermal,TRN,1.4,1.54,1.67,1.77,1.85,1.9,1.92
ELEC,Heat,Geothermal,WEL,5.96,6.59,7.14,7.57,7.9,8.11,8.22
ELEC,Heat,Geothermal,WTO,5.58,6.17,6.68,7.09,7.39,7.59,7.69
ELEC,Heat,Solar,AKL,34.16,40.18,46.36,52.6,58.84,65.05,71.2
ELEC,Heat,Solar,BOP,6.65,7.82,9.03,10.24,11.46,12.66,13.86
ELEC,Heat,Solar,CAN,13.65,16.05,18.52,21.02,23.51,25.99,28.45
ELEC,Heat,Solar,CEN,5.05,5.94,6.86,7.78,8.71,9.62,10.53
ELEC,Heat,Solar,GIS,1.02,1.2,1.38,1.57,1.75,1.94,2.12
ELEC,Heat,Solar,HBY,3.53,4.16,4.8,5.44,6.09,6.73,7.37
ELEC,Heat,Solar,NEL,3.2,3.76,4.33,4.93,5.5,6.09,6.66
ELEC,Heat,Solar,NIS,3.85,4.53,5.23,5.94,6.64,7.34,8.03
ELEC,Heat,Solar,OTG,6.91,8.13,9.38,10.65,11.9,13.16,14.4
ELEC,Heat,Solar,TRN,2.49,2.93,3.38,3.84,4.29,4.74,5.19
ELEC,Heat,Solar,WEL,10.64,12.52,14.44,16.39,18.33,20.27,22.18
ELEC,Heat,Solar,WTO,9.96,11.71,13.51,15.33,17.15,18.96,20.76
ELEC,Heat,Wood,AKL,645.5,494.62,382.65,230.75,120.3,0.0,0.0
ELEC,Heat,Wood,BOP,125.67,96.3,74.5,44.92,23.42,0.0,0.0
ELEC,Heat,Wood,CAN,257.91,197.62,152.89,92.2,48.07,0.0,0.0
ELEC,Heat,Wood,CEN,95.5,73.18,56.62,34.14,17.8,0.0,0.0
ELEC,Heat,Wood,GIS,19.24,14.74,11.41,6.88,3.59,0.0,0.0
ELEC,Heat,Wood,HBY,66.8,51.19,39.6,23.88,12.45,0.0,0.0
ELEC,Heat,Wood,NEL,181.15,159.93,126.92,72.36,35.71,7.47,0.03
ELEC,Heat,Wood,NIS,2715.05,2542.36,2036.64,1136.89,548.52,163.73,0.86
ELEC,Heat,Wood,OTG,130.57,100.05,77.4,46.68,24.34,0.0,0.0
ELEC,Heat,Wood,TRN,47.07,36.07,27.91,16.83,8.77,0.0,0.0
ELEC,Heat,Wood,WEL,201.1,154.09,119.21,71.89,37.48,0.0,0.0
ELEC,Heat,Wood,WTO,3996.75,3728.39,2985.01,1668.49,806.16,236.01,1.25
ELEC,Power,Electricity,AKL,5025.71,6183.36,7341.02,8587.3,9833.58,11157.88,12482.19
ELEC,Power,Electricity,BOP,1084.32,1333.57,1582.83,1853.56,2124.28,2410.95,2697.61
ELEC,Power,Electricity,CAN,2704.49,3327.37,3950.24,4623.18,5296.12,6010.0,6723.88
ELEC,Power,Electricity,CEN,882.6,1085.78,1288.96,1508.39,1727.81,1960.52,2193.22
ELEC,Power,Electricity,GIS,133.89,164.77,195.65,228.77,261.89,297.12,332.36
ELEC,Power,Electricity,HBY,1226.63,1507.72,1788.82,2095.83,2402.84,2726.5,3050.17
ELEC,Power,Electricity,NEL,524.28,645.05,765.82,895.86,1025.91,1164.01,1302.1
ELEC,Power,Electricity,NIS,638.25,785.19,932.13,1091.25,1250.37,1418.86,1587.34
ELEC,Power,Electricity,OTG,3518.26,4327.2,5136.15,6015.98,6895.8,7825.47,8755.14
ELEC,Power,Electricity,TRN,437.47,538.17,638.88,747.67,856.47,971.85,1087.22
ELEC,Power,Electricity,WEL,1392.17,1712.43,2032.68,2378.06,2723.44,3090.04,3456.65
ELEC,Power,Electricity,WTO,2096.43,2578.41,3060.4,3583.27,4106.14,4659.52,5212.89
ELEC,Transport,Biofuel (LF),AKL,176.86,144.13,207.19,203.06,123.29,52.09,0.0
ELEC,Transport,Biofuel (LF),BOP,43.23,36.27,55.2,59.21,42.52,22.09,0.0
ELEC,Transport,Biofuel (LF),CAN,92.95,76.38,111.12,110.74,69.89,31.06,0.0
ELEC,Transport,Biofuel (LF),CEN,30.71,25.1,35.93,34.8,20.77,8.55,0.0
ELEC,Transport,Biofuel (LF),GIS,6.05,5.04,7.51,7.76,5.26,2.53,0.0
ELEC,Transport,Biofuel (LF),HBY,22.37,18.57,27.58,28.42,19.15,9.22,0.0
ELEC,Transport,Biofuel (LF),NEL,25.62,21.54,32.89,35.22,25.3,12.9,0.0
ELEC,Transport,Biofuel (LF),NIS,21.78,17.67,24.87,23.44,13.17,4.94,0.0
ELEC,Transport,Biofuel (LF),OTG,46.88,38.5,55.87,55.48,34.78,15.35,0.0
ELEC,Transport,Biofuel (LF),TRN,15.34,12.61,18.31,18.16,11.36,4.97,0.0
ELEC,Transport,Biofuel (LF),WEL,53.07,44.0,65.86,68.74,47.02,22.8,0.0
ELEC,Transport,Biofuel (LF),WTO,55.73,45.33,64.37,61.59,35.74,14.1,0.0
ELEC,Transport,Biofuel (gas),AKL,0.0,0.0,0.0,0.31,0.87,1.26,0.0
ELEC,Transport,Biofuel (gas),BOP,0.0,0.0,0.0,0.5,1.43,2.08,0.0
ELEC,Transport,Biofuel (gas),CAN,0.0,0.0,0.0,0.15,0.44,0.63,0.0
ELEC,Transport,Biofuel (gas),CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Biofuel (gas),GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Biofuel (gas),HBY,0.0,0.0,0.0,0.09,0.27,0.39,0.0
ELEC,Transport,Biofuel (gas),NEL,0.0,0.0,0.0,0.02,0.06,0.09,0.0
ELEC,Transport,Biofuel (gas),NIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Biofuel (gas),OTG,0.0,0.0,0.0,0.08,0.23,0.35,0.0
ELEC,Transport,Biofuel (gas),TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Biofuel (gas),WEL,0.0,0.0,0.0,0.04,0.11,0.15,0.0
ELEC,Transport,Biofuel (gas),WTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,E-fuel (LF),AKL,0.0,0.0,207.19,1015.32,2671.32,2343.9,2109.68
ELEC,Transport,E-fuel (LF),BOP,0.0,0.0,55.2,296.04,921.28,994.23,977.0
ELEC,Transport,E-fuel (LF),CAN,0.0,0.0,111.12,553.72,1514.23,1397.81,1289.17
ELEC,Transport,E-fuel (LF),CEN,0.0,0.0,35.93,174.02,450.11,384.64,343.95
ELEC,Transport,E-fuel (LF),GIS,0.0,0.0,7.51,38.8,114.03,113.93,108.18
ELEC,Transport,E-fuel (LF),HBY,0.0,0.0,27.58,142.11,414.81,414.9,395.63
ELEC,Transport,E-fuel (LF),NEL,0.0,0.0,32.89,176.1,548.33,580.79,561.12
ELEC,Transport,E-fuel (LF),NIS,0.0,0.0,24.87,117.21,285.31,222.18,190.47
ELEC,Transport,E-fuel (LF),OTG,0.0,0.0,55.87,277.38,753.61,690.43,635.7
ELEC,Transport,E-fuel (LF),TRN,0.0,0.0,18.31,90.82,246.05,223.66,204.69
ELEC,Transport,E-fuel (LF),WEL,0.0,0.0,65.86,343.72,1018.82,1026.21,969.18
ELEC,Transport,E-fuel (LF),WTO,0.0,0.0,64.37,307.96,774.37,634.51,556.03
ELEC,Transport,E-fuel (gas),AKL,0.0,0.0,0.0,1.53,18.85,56.71,85.03
ELEC,Transport,E-fuel (gas),BOP,0.0,0.0,0.0,2.52,31.05,93.38,140.02
ELEC,Transport,E-fuel (gas),CAN,0.0,0.0,0.0,0.77,9.44,28.4,42.58
ELEC,Transport,E-fuel (gas),CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,E-fuel (gas),GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,E-fuel (gas),HBY,0.0,0.0,0.0,0.47,5.84,17.57,26.34
ELEC,Transport,E-fuel (gas),NEL,0.0,0.0,0.0,0.1,1.28,3.86,5.78
ELEC,Transport,E-fuel (gas),NIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,E-fuel (gas),OTG,0.0,0.0,0.0,0.41,5.12,15.4,23.1
ELEC,Transport,E-fuel (gas),TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,E-fuel (gas),WEL,0.0,0.0,0.0,0.19,2.29,6.88,10.32
ELEC,Transport,E-fuel (gas),WTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Electricity,AKL,41.5,243.87,685.85,1359.61,1828.86,2088.57,2488.51
ELEC,Transport,Electricity,BOP,4.01,45.63,148.9,302.34,408.49,467.58,1011.94
ELEC,Transport,Electricity,CAN,15.64,115.01,360.51,724.49,976.09,1119.3,1326.89
ELEC,Transport,Electricity,CEN,3.07,35.95,122.63,249.09,335.2,383.56,397.94
ELEC,Transport,Electricity,GIS,0.53,6.38,22.79,46.53,62.99,73.13,77.48
ELEC,Transport,Electricity,HBY,2.03,24.44,82.51,167.7,226.31,260.38,371.55
ELEC,Transport,Electricity,NEL,2.21,26.7,88.78,181.42,248.18,291.04,334.58
ELEC,Transport,Electricity,NIS,2.18,26.33,88.67,179.64,240.77,274.07,282.37
ELEC,Transport,Electricity,OTG,4.58,54.28,179.67,364.73,491.94,563.95,673.8
ELEC,Transport,Electricity,TRN,1.56,17.77,59.16,120.38,162.99,187.49,195.95
ELEC,Transport,Electricity,WEL,36.51,95.94,216.6,403.68,539.67,623.5,702.3
ELEC,Transport,Electricity,WTO,5.61,67.14,221.81,449.56,604.53,690.2,714.22
ELEC,Transport,Fossil (LF),AKL,17509.31,14269.2,9945.23,5550.4,1315.11,208.35,0.0
ELEC,Transport,Fossil (LF),BOP,4280.21,3590.98,2649.62,1618.33,453.55,88.38,0.0
ELEC,Transport,Fossil (LF),CAN,9202.51,7562.14,5333.85,3027.0,745.47,124.25,0.0
ELEC,Transport,Fossil (LF),CEN,3040.62,2484.89,1724.76,951.29,221.59,34.19,0.0
ELEC,Transport,Fossil (LF),GIS,598.61,498.92,360.68,212.08,56.14,10.13,0.0
ELEC,Transport,Fossil (LF),HBY,2214.7,1838.78,1323.93,776.85,204.22,36.88,0.0
ELEC,Transport,Fossil (LF),NEL,2535.63,2132.02,1578.39,962.68,269.95,51.63,0.0
ELEC,Transport,Fossil (LF),NIS,2156.65,1748.92,1193.93,640.74,140.46,19.75,0.0
ELEC,Transport,Fossil (LF),OTG,4640.64,3811.16,2682.01,1516.33,371.01,61.37,0.0
ELEC,Transport,Fossil (LF),TRN,1518.34,1247.91,878.94,496.51,121.13,19.88,0.0
ELEC,Transport,Fossil (LF),WEL,5253.65,4356.32,3161.49,1879.0,501.57,91.22,0.0
ELEC,Transport,Fossil (LF),WTO,5516.81,4487.33,3089.86,1683.51,381.23,56.4,0.0
ELEC,Transport,Fossil (gas),AKL,0.0,0.0,0.0,8.36,9.28,5.04,0.0
ELEC,Transport,Fossil (gas),BOP,0.0,0.0,0.0,13.76,15.29,8.3,0.0
ELEC,Transport,Fossil (gas),CAN,0.0,0.0,0.0,4.19,4.65,2.52,0.0
ELEC,Transport,Fossil (gas),CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Fossil (gas),GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Fossil (gas),HBY,0.0,0.0,0.0,2.59,2.88,1.56,0.0
ELEC,Transport,Fossil (gas),NEL,0.0,0.0,0.0,0.57,0.63,0.34,0.0
ELEC,Transport,Fossil (gas),NIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Fossil (gas),OTG,0.0,0.0,0.0,2.27,2.52,1.37,0.0
ELEC,Transport,Fossil (gas),TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Fossil (gas),WEL,0.0,0.0,0.0,1.01,1.13,0.61,0.0
ELEC,Transport,Fossil (gas),WTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,AKL,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,BOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,CAN,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,HBY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,NEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,NIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,OTG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,WEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEC,Transport,Hydrogen,WTO,0.01,0.0,0.0,0.0,0.0,0.0,0.0
GP,Heat,Biofuel (LF),AKL,1.0,0.99,4.42,5.78,3.38,1.59,0.0
GP,Heat,Biofuel (LF),BOP,0.17,0.17,0.75,0.99,0.58,0.27,0.0
GP,Heat,Biofuel (LF),CAN,1.89,1.87,8.32,10.89,6.36,2.99,0.0
GP,Heat,Biofuel (LF),CEN,0.15,0.15,0.67,0.87,0.51,0.24,0.0
GP,Heat,Biofuel (LF),GIS,0.01,0.01,0.04,0.05,0.03,0.01,0.0
GP,Heat,Biofuel (LF),HBY,0.43,0.42,1.88,2.46,1.43,0.68,0.0
GP,Heat,Biofuel (LF),NEL,1.14,1.14,5.04,6.6,3.87,1.8,0.0
GP,Heat,Biofuel (LF),NIS,0.04,0.04,0.19,0.25,0.14,0.07,0.0
GP,Heat,Biofuel (LF),OTG,0.11,0.11,0.52,0.67,0.39,0.18,0.0
GP,Heat,Biofuel (LF),WEL,0.03,0.03,0.15,0.19,0.11,0.05,0.0
GP,Heat,Biofuel (LF),WTO,0.77,0.76,3.39,4.44,2.59,1.22,0.0
GP,Heat,Biofuel (gas),AKL,0.0,0.0,80.05,91.05,91.46,67.45,56.58
GP,Heat,Biofuel (gas),BOP,0.0,0.0,18.92,22.55,25.5,20.47,17.94
GP,Heat,Biofuel (gas),CAN,0.0,0.0,85.69,114.14,160.47,145.06,134.19
GP,Heat,Biofuel (gas),CEN,0.0,0.0,38.99,52.79,76.19,69.7,64.79
GP,Heat,Biofuel (gas),GIS,0.0,0.0,2.27,2.54,2.45,1.75,1.44
GP,Heat,Biofuel (gas),HBY,0.0,0.0,13.99,17.69,22.63,19.53,17.71
GP,Heat,Biofuel (gas),NEL,0.0,0.0,9.46,11.35,13.07,10.62,9.36
GP,Heat,Biofuel (gas),NIS,0.0,0.0,14.74,18.54,23.5,20.17,18.25
GP,Heat,Biofuel (gas),OTG,0.0,0.0,47.82,64.22,91.48,83.21,77.16
GP,Heat,Biofuel (gas),TRN,0.0,0.0,76.53,109.01,169.82,160.41,151.03
GP,Heat,Biofuel (gas),WEL,0.0,0.0,18.98,19.74,14.75,7.91,5.25
GP,Heat,Biofuel (gas),WTO,0.0,0.0,53.42,70.1,96.08,85.83,79.0
GP,Heat,Coal,AKL,261.05,219.34,110.66,116.62,96.86,62.0,0.0
GP,Heat,Coal,BOP,64.39,55.34,31.57,29.2,22.08,13.22,0.0
GP,Heat,Coal,CAN,2359.4,2189.12,1711.4,1125.53,574.52,215.34,0.0
GP,Heat,Coal,CEN,38.24,32.09,16.09,17.07,14.24,9.14,0.0
GP,Heat,Coal,GIS,7.7,6.47,3.24,3.44,2.87,1.84,0.0
GP,Heat,Coal,HBY,28.98,24.53,12.9,13.01,10.49,6.58,0.0
GP,Heat,Coal,NEL,154.19,141.46,106.3,73.01,39.9,16.77,0.0
GP,Heat,Coal,NIS,652.08,604.97,472.79,311.05,158.87,59.61,0.0
GP,Heat,Coal,OTG,1842.12,1711.79,1345.22,879.68,444.74,163.75,0.0
GP,Heat,Coal,TRN,18.85,15.82,7.93,8.41,7.02,4.51,0.0
GP,Heat,Coal,WEL,83.72,70.57,36.24,37.48,30.75,19.52,0.0
GP,Heat,Coal,WTO,225.65,203.31,142.82,105.55,63.77,30.71,0.0
GP,Heat,E-fuel (LF),AKL,0.0,0.0,2.21,8.67,9.84,8.61,0.0
GP,Heat,E-fuel (LF),BOP,0.0,0.0,0.38,1.48,1.68,1.47,0.0
GP,Heat,E-fuel (LF),CAN,0.0,0.0,4.16,16.34,18.54,16.21,0.0
GP,Heat,E-fuel (LF),CEN,0.0,0.0,0.33,1.31,1.48,1.3,0.0
GP,Heat,E-fuel (LF),GIS,0.0,0.0,0.02,0.08,0.09,0.08,0.0
GP,Heat,E-fuel (LF),HBY,0.0,0.0,0.94,3.69,4.18,3.66,0.0
GP,Heat,E-fuel (LF),NEL,0.0,0.0,2.52,9.9,11.25,9.84,0.0
GP,Heat,E-fuel (LF),NIS,0.0,0.0,0.09,0.37,0.42,0.36,0.0
GP,Heat,E-fuel (LF),OTG,0.0,0.0,0.26,1.01,1.15,1.01,0.0
GP,Heat,E-fuel (LF),WEL,0.0,0.0,0.07,0.29,0.33,0.29,0.0
GP,Heat,E-fuel (LF),WTO,0.0,0.0,1.69,6.66,7.56,6.61,0.0
GP,Heat,E-fuel (gas),AKL,0.0,0.0,80.05,455.25,823.11,1011.72,1074.96
GP,Heat,E-fuel (gas),BOP,0.0,0.0,18.92,112.77,229.51,306.98,340.93
GP,Heat,E-fuel (gas),CAN,0.0,0.0,85.69,570.7,1444.21,2175.83,2549.64
GP,Heat,E-fuel (gas),CEN,0.0,0.0,38.99,263.94,685.71,1045.43,1231.01
GP,Heat,E-fuel (gas),GIS,0.0,0.0,2.27,12.71,22.06,26.22,27.33
GP,Heat,E-fuel (gas),HBY,0.0,0.0,13.99,88.43,203.7,292.96,336.54
GP,Heat,E-fuel (gas),NEL,0.0,0.0,9.46,56.78,117.72,159.34,177.99
GP,Heat,E-fuel (gas),NIS,0.0,0.0,14.74,92.71,211.46,302.52,346.72
GP,Heat,E-fuel (gas),OTG,0.0,0.0,47.82,321.07,823.38,1248.05,1466.12
GP,Heat,E-fuel (gas),TRN,0.0,0.0,76.53,545.07,1528.41,2406.16,2869.63
GP,Heat,E-fuel (gas),WEL,0.0,0.0,18.98,98.7,132.72,118.69,99.74
GP,Heat,E-fuel (gas),WTO,0.0,0.0,53.42,350.52,864.76,1287.38,1501.07
GP,Heat,Electricity,AKL,4974.12,5394.96,5782.78,6390.38,6999.77,7503.62,7904.69
GP,Heat,Electricity,BOP,2052.1,2144.39,2243.46,2413.27,2565.34,2661.59,2716.26
GP,Heat,Electricity,CAN,2256.71,2427.43,2588.25,2843.81,3095.6,3296.46,3450.89
GP,Heat,Electricity,CEN,902.63,966.48,1027.49,1125.31,1220.61,1294.88,1350.62
GP,Heat,Electricity,GIS,144.63,157.14,168.63,186.56,204.62,219.64,231.68
GP,Heat,Electricity,HBY,612.08,656.56,698.81,766.32,832.38,884.36,923.77
GP,Heat,Electricity,NEL,435.69,474.76,510.39,565.81,621.88,669.06,707.19
GP,Heat,Electricity,NIS,873.14,923.6,974.15,1057.53,1135.91,1192.24,1230.75
GP,Heat,Electricity,OTG,1294.64,1382.52,1467.25,1603.87,1736.03,1837.47,1912.36
GP,Heat,Electricity,TRN,2835.44,2889.76,2971.82,3133.68,3254.39,3286.94,3262.76
GP,Heat,Electricity,WEL,1403.65,1533.36,1651.01,1833.36,2018.71,2175.93,2304.03
GP,Heat,Electricity,WTO,4226.6,4375.82,4549.26,4858.38,5121.66,5263.83,5320.75
GP,Heat,Fossil (LF),AKL,99.18,98.38,81.7,43.37,14.91,3.05,0.0
GP,Heat,Fossil (LF),BOP,16.94,16.8,13.95,7.41,2.55,0.52,0.0
GP,Heat,Fossil (LF),CAN,186.82,185.31,153.9,81.7,28.08,5.74,0.0
GP,Heat,Fossil (LF),CEN,14.95,14.83,12.31,6.54,2.25,0.46,0.0
GP,Heat,Fossil (LF),GIS,0.93,0.92,0.76,0.41,0.14,0.03,0.0
GP,Heat,Fossil (LF),HBY,42.15,41.81,34.72,18.43,6.34,1.29,0.0
GP,Heat,Fossil (LF),NEL,113.28,112.35,93.3,49.53,17.04,3.48,0.0
GP,Heat,Fossil (LF),NIS,4.21,4.17,3.46,1.84,0.63,0.13,0.0
GP,Heat,Fossil (LF),OTG,11.56,11.46,9.51,5.06,1.74,0.36,0.0
GP,Heat,Fossil (LF),WEL,3.31,3.28,2.73,1.45,0.5,0.1,0.0
GP,Heat,Fossil (LF),WTO,76.12,75.51,62.71,33.29,11.44,2.34,0.0
GP,Heat,Fossil (gas),AKL,4002.52,4409.87,3842.4,2488.7,914.56,269.79,0.0
GP,Heat,Fossil (gas),BOP,950.25,1028.82,908.12,616.5,255.01,81.86,0.0
GP,Heat,Fossil (gas),CAN,4353.21,4504.06,4112.76,3119.81,1604.68,580.22,0.0
GP,Heat,Fossil (gas),CEN,1984.64,2038.89,1871.72,1442.86,761.9,278.78,0.0
GP,Heat,Fossil (gas),GIS,113.19,125.36,108.81,69.46,24.51,6.99,0.0
GP,Heat,Fossil (gas),HBY,706.87,747.76,671.55,483.41,226.34,78.12,0.0
GP,Heat,Fossil (gas),NEL,474.92,512.57,453.49,310.39,130.8,42.49,0.0
