nodesData,years,sourcesink_techs,commodity,usesFixedProfile,usesLowerProfile,usesUpperProfile,usesUpperSum
AKL,2020,Demand,H2,0,0,1,1
AKL,2020,Ocean,Water_out,0,0,1,0
AKL,2020,Slack,Elec,0,1,0,1
AKL,2020,Wholesale,Elec,1,0,0,0
AKL,2035,Demand,H2,0,0,1,1
AKL,2035,Ocean,Water_out,0,0,1,0
AKL,2035,Slack,Elec,0,1,0,1
AKL,2035,Trucks,Elec,1,0,0,0
AKL,2035,Wholesale,Elec,1,0,0,0
AKL,2050,Demand,H2,0,0,1,1
AKL,2050,Ocean,Water_out,0,0,1,0
AKL,2050,Slack,Elec,0,1,0,1
AKL,2050,Trucks,Elec,1,0,0,0
AKL,2050,Wholesale,Elec,1,0,0,0
BOP,2020,Demand,H2,0,0,1,1
BOP,2020,Inflow,Water_in,1,0,0,0
BOP,2020,Ocean,Water_out,0,0,1,0
BOP,2020,Slack,Elec,0,1,0,1
BOP,2020,Wholesale,Elec,1,0,0,0
BOP,2035,Demand,H2,0,0,1,1
BOP,2035,Inflow,Water_in,1,0,0,0
BOP,2035,Ocean,Water_out,0,0,1,0
BOP,2035,Slack,Elec,0,1,0,1
BOP,2035,Trucks,Elec,1,0,0,0
BOP,2035,Wholesale,Elec,1,0,0,0
BOP,2050,Demand,H2,0,0,1,1
BOP,2050,Inflow,Water_in,1,0,0,0
BOP,2050,Ocean,Water_out,0,0,1,0
BOP,2050,Slack,Elec,0,1,0,1
BOP,2050,Trucks,Elec,1,0,0,0
BOP,2050,Wholesale,Elec,1,0,0,0
CAN,2020,Demand,H2,0,0,1,1
CAN,2020,Inflow,Water_in,1,0,0,0
CAN,2020,Ocean,Water_out,0,0,1,0
CAN,2020,Slack,Elec,0,1,0,1
CAN,2020,Wholesale,Elec,1,0,0,0
CAN,2035,Demand,H2,0,0,1,1
CAN,2035,Inflow,Water_in,1,0,0,0
CAN,2035,Ocean,Water_out,0,0,1,0
CAN,2035,Slack,Elec,0,1,0,1
CAN,2035,Trucks,Elec,1,0,0,0
CAN,2035,Wholesale,Elec,1,0,0,0
CAN,2050,Demand,H2,0,0,1,1
CAN,2050,Inflow,Water_in,1,0,0,0
CAN,2050,Ocean,Water_out,0,0,1,0
CAN,2050,Slack,Elec,0,1,0,1
CAN,2050,Trucks,Elec,1,0,0,0
CAN,2050,Wholesale,Elec,1,0,0,0
CEN,2020,Demand,H2,0,0,1,1
CEN,2020,Inflow,Water_in,1,0,0,0
CEN,2020,Ocean,Water_out,0,0,1,0
CEN,2020,Slack,Elec,0,1,0,1
CEN,2020,Wholesale,Elec,1,0,0,0
CEN,2035,Demand,H2,0,0,1,1
CEN,2035,Inflow,Water_in,1,0,0,0
CEN,2035,Ocean,Water_out,0,0,1,0
CEN,2035,Slack,Elec,0,1,0,1
CEN,2035,Trucks,Elec,1,0,0,0
CEN,2035,Wholesale,Elec,1,0,0,0
CEN,2050,Demand,H2,0,0,1,1
CEN,2050,Inflow,Water_in,1,0,0,0
CEN,2050,Ocean,Water_out,0,0,1,0
CEN,2050,Slack,Elec,0,1,0,1
CEN,2050,Trucks,Elec,1,0,0,0
CEN,2050,Wholesale,Elec,1,0,0,0
HBY,2020,Demand,H2,0,0,1,1
HBY,2020,Inflow,Water_in,1,0,0,0
HBY,2020,Ocean,Water_out,0,0,1,0
HBY,2020,Slack,Elec,0,1,0,1
HBY,2020,Wholesale,Elec,1,0,0,0
HBY,2035,Demand,H2,0,0,1,1
HBY,2035,Inflow,Water_in,1,0,0,0
HBY,2035,Ocean,Water_out,0,0,1,0
HBY,2035,Slack,Elec,0,1,0,1
HBY,2035,Trucks,Elec,1,0,0,0
HBY,2035,Wholesale,Elec,1,0,0,0
HBY,2050,Demand,H2,0,0,1,1
HBY,2050,Inflow,Water_in,1,0,0,0
HBY,2050,Ocean,Water_out,0,0,1,0
HBY,2050,Slack,Elec,0,1,0,1
HBY,2050,Trucks,Elec,1,0,0,0
HBY,2050,Wholesale,Elec,1,0,0,0
NEL,2020,Demand,H2,0,0,1,1
NEL,2020,Inflow,Water_in,1,0,0,0
NEL,2020,Ocean,Water_out,0,0,1,0
NEL,2020,Slack,Elec,0,1,0,1
NEL,2020,Wholesale,Elec,1,0,0,0
NEL,2035,Demand,H2,0,0,1,1
