indicator,accNodesData,converter_techs,vintage,activity,perActivity
CO2_emission,global,CCGT,2000,Powergen,-0.3475584
CO2_emission,global,CCGT,2030,Powergen,-0.3304224
CO2_emission,global,GT,2000,Powergen,-0.49170240000000004
CO2_emission,global,GT,2030,Powergen,-0.4689216
