Commodity,Base (TWh),Dry-Year (TWh),Difference
elec,1.92603692994453e-07,7.459493645001203e-07,5.533456715056673e-07
Total_Hydro_Inflow,9.204015327668458e-11,4.067441494726154e-09,3.975401341449469e-09
ohau_bc_canal,1.9690560293383896e-09,4.69231054012198e-09,2.7232545107835904e-09
tekapo_a_out,0.0,0.0,0.0
h2_stored,0.0,-1.6898731227787225e-19,-1.6898731227787225e-19
water_out,1.8189894035458565e-11,1.6370904631912708e-11,-1.8189894035458565e-12
h2,-1.2107648217352107e-11,-2.001476104851463e-07,-2.0013550283692894e-07
elec_battery,-4.202439185041809e-08,-2.9948598766737673e-06,-2.9528354848233494e-06
ohau_a_out,-0.0021735981122219528,-0.00743384338488795,-0.005260245272665998
