node,commodity,upper,used,gap,rel_use
AKL,CH4,0.0,0.0,0.0,
AKL,Gas_bio,60.82858914647215,0.0,60.82858914647215,0.0
AKL,LF_bio,155.09119207565993,0.0,155.09119207565993,0.0
AKL,Wood,6703.96597652154,0.0,6703.96597652154,0.0
BOP,CH4,0.0,0.0,0.0,
BOP,Gas_bio,24.945060352387443,0.0,24.945060352387443,0.0
BOP,LF_bio,53.977184332742446,0.0,53.977184332742446,0.0
BOP,Wood,1305.17377051032,0.0,1305.17377051032,0.0
CAN,CH4,0.0,0.0,0.0,
CAN,Gas_bio,136.3209778798807,0.0,136.3209778798807,0.0
CAN,LF_bio,90.08757358063899,0.0,90.08757358063899,0.0
CAN,Wood,2678.5959905821483,0.0,2678.5959905821483,0.0
CEN,Gas_bio,64.7901658680619,0.0,64.7901658680619,0.0
CEN,LF_bio,25.418524597693015,0.0,25.418524597693015,0.0
CEN,Wood,991.877612486277,0.0,991.877612486277,0.0
HBY,CH4,0.0,0.0,0.0,
HBY,Gas_bio,20.46848453678353,0.0,20.46848453678353,0.0
HBY,LF_bio,32.7182740711955,0.0,32.7182740711955,0.0
HBY,Wood,893.631616041772,0.0,893.631616041772,0.0
NEL,CH4,0.0,0.0,0.0,
NEL,Gas_bio,9.656871999987592,0.0,9.656871999987592,0.0
NEL,LF_bio,38.339378135522054,0.0,38.339378135522054,0.0
NEL,Wood,756.385327119661,0.0,756.385327119661,0.0
NIS,Gas_bio,18.2481628819186,0.0,18.2481628819186,0.0
NIS,LF_bio,14.748955111457805,0.0,14.748955111457805,0.0
NIS,Wood,3588.35230635368,0.0,3588.35230635368,0.0
OTG,CH4,0.0,0.0,0.0,
OTG,Gas_bio,78.31914951009605,0.0,78.31914951009605,0.0
OTG,LF_bio,44.13309482087057,0.0,44.13309482087057,0.0
OTG,Wood,1356.093353962576,0.0,1356.093353962576,0.0
TRN,Gas_bio,151.033307960123,0.0,151.033307960123,0.0
TRN,LF_bio,14.935784720435016,0.0,14.935784720435016,0.0
TRN,Wood,488.893638560969,0.0,488.893638560969,0.0
WEL,CH4,0.0,0.0,0.0,
WEL,Gas_bio,5.76528375222992,0.0,5.76528375222992,0.0
WEL,LF_bio,69.8821523972714,0.0,69.8821523972714,0.0
WEL,Wood,2088.54875045924,0.0,2088.54875045924,0.0
WTO,Gas_bio,79.0035524017261,0.0,79.0035524017261,0.0
WTO,LF_bio,42.54751410598249,0.0,42.54751410598249,0.0
WTO,Wood,6036.28087740178,0.0,6036.28087740178,0.0
