,demand_R1,PV,WindOnshore,demand_R2,demand_R4,demand_R3
t0131,56755,4692,3073,51079,39728,8513
t0132,57782,6656,3440,52003,40447,8667
t0133,57643,7271,3405,51878,40350,8646
t0134,56945,6349,3770,51250,39861,8541
t0135,55719,3958,4339,50147,39003,8357
t0136,56079,1551,5179,50471,39255,8411
t0137,58536,161,6672,52682,40975,8780
t0138,63541,0,8127,57186,44478,9531
t0139,63885,0,9401,57496,44719,9582
t0140,62564,0,9605,56307,43794,9384
t0141,59152,0,9752,53236,41406,8872
t0142,56998,0,9303,51298,39898,8549
t0143,54681,0,9694,49212,38276,8202
t0144,51411,0,9591,46269,35987,7711
t0145,47777,0,9248,42999,33443,7166
t0146,45654,0,8655,41088,31957,6848
t0147,45283,0,8285,40754,31698,6792
t0148,45484,0,8755,40935,31838,6822
t0149,45851,0,8791,41265,32095,6877
t0150,48215,0,8514,43393,33750,7232
t0151,54362,0,8532,48925,38053,8154
t0152,60293,0,8141,54263,42205,9043
t0153,63625,48,7751,57262,44537,9543
t0154,6407,608,7310,5766,4484,961
t0155,64523,1811,7121,58070,45166,9678
t0156,65860,3059,7217,59274,46102,9879
t0157,65715,3776,7460,59143,46000,9857
t0158,65418,3713,7778,58876,45792,9812
t0159,64457,2799,7320,58011,45119,9668
t0160,62593,1155,7070,56333,43815,9388
t0161,63142,133,7528,56827,44199,9471
t0162,67115,0,8681,60403,46980,10067
t0163,66973,0,10187,60275,46881,10045
t0164,65522,0,11370,58969,45865,9828
t0165,61823,0,12802,55640,43276,9273
t0166,59937,0,14018,53943,41955,8990
t0167,58536,0,14585,52682,40975,8780
t0168,54721,0,14804,49248,38304,8208
t0169,52417,0,15061,47175,36691,7862
t0170,50580,0,15847,45522,35406,7587
t0171,49677,0,16475,44709,34773,7451
t0172,49341,0,16760,44406,34538,7401
t0173,49952,0,16856,44956,34966,7492
t0174,51868,0,16849,46681,36307,7780
t0175,57921,0,17607,52128,40544,8688
t0176,63860,0,18147,57474,44702,9579
t0177,65845,56,18074,59260,46091,9876
t0178,65946,445,18194,59351,46162,9891
t0179,65953,1082,18158,59357,46167,9892
t0180,66511,1737,17969,59859,46557,9976
t0181,65669,2060,17313,59102,45968,9850
t0182,64676,1701,16724,58208,45273,9701
t0183,63879,1037,16644,57491,44715,9581
t0184,63921,413,16029,57528,44744,9588
t0185,64399,57,16797,57959,45079,9659
t0186,65906,0,17086,59315,46134,9885
t0187,65723,0,18392,59150,46006,9858
t0188,64036,0,20013,57632,44825,9605
t0189,61114,0,21481,55002,42779,9167
t0190,58312,0,22674,52480,40818,8746
t0191,57287,0,22798,51558,40100,8593
t0192,53880,0,22918,48492,37716,8082
t0193,51464,0,22493,46317,36024,7719
t0194,50224,0,22293,45201,35156,7533
t0195,48765,0,22667,43888,34135,7314
t0196,48800,0,23854,43920,34160,7320
t0197,49779,0,25176,44801,34845,7466
t0198,52345,0,26534,47110,36641,7851
t0199,57950,0,27529,52155,40565,8692
t0200,63271,0,28256,56943,44289,9490
t0201,67718,52,29037,60946,47402,10157
t0202,68516,420,29788,61664,47961,10277
t0203,68693,972,29866,61823,48085,10303
t0204,68216,1397,29180,61394,47751,10232
t0205,68253,1472,29467,61427,47777,10237
t0206,67452,1233,29746,60706,47216,10117
t0207,65878,869,30048,59290,46114,9881
t0208,65424,349,30221,58881,45796,9813
t0209,65708,43,30286,59137,45995,9856
t0210,69259,0,30018,62333,48481,10388
t0211,68070,0,28952,61263,47649,10210
t0212,64639,0,27715,58175,45247,9695
t0213,61547,0,26195,55392,43082,9232
t0214,59385,0,24024,53446,41569,8907
t0215,56093,0,21960,50483,39265,8413
t0216,52122,0,21081,46909,36485,7818
t0217,48252,0,20050,43426,33776,7237
t0218,45822,0,20224,41239,32075,6873
t0219,43749,0,20574,39374,30624,6562
t0220,43318,0,21959,38986,30322,6497
t0221,43257,0,23278,38931,30279,6488
t0222,44124,0,24361,39711,30886,6618
t0223,45226,0,26227,40703,31658,6783
t0224,49437,0,27409,44493,34605,7415
t0225,53615,53,28351,48253,37530,8042
t0226,55658,548,28658,50092,38960,8348
t0227,57364,2016,29050,51627,40154,8604
t0228,59478,4229,29566,53530,41634,8921
t0229,59609,5276,29488,53648,41726,8941
t0230,58233,4539,29096,52409,40763,8734
t0231,56549,2757,28933,50894,39584,8482
t0232,55141,960,28551,49626,38598,8271
t0233,56023,84,28593,50420,39216,8403
t0234,59826,0,28424,53843,41878,8973
t0235,60016,0,28027,54014,42011,9002
t0236,58611,0,27645,52749,41027,8791
t0237,54983,0,27103,49484,38488,8247
t0238,53490,0,26449,48141,37443,8023
t0239,52840,0,25387,47556,36988,7926
t0240,50440,0,24820,45396,35308,7566
t0241,46824,0,24189,42141,32776,7023
t0242,44111,0,23988,39699,30877,6616
t0243,42367,0,23330,38130,29656,6355
t0244,41828,0,23182,37645,29279,6274
t0245,41674,0,23443,37506,29171,6251
t0246,41259,0,23672,37133,28881,6188
t0247,40605,0,24719,36544,28423,6090
t0248,41598,0,25356,37438,29118,6239
t0249,44319,121,26416,39887,31023,6647
t0250,46963,1073,26589,42266,32874,7044
t0251,50445,2466,27327,45400,35311,7566
t0252,52695,3408,27817,47425,36886,7904
t0253,52932,4119,28279,47638,37052,7939
t0254,52168,3979,28375,46951,36517,7825
t0255,51072,3024,28598,45964,35750,7660
t0256,50558,1423,28268,45502,35390,7583
t0257,52477,178,28035,47229,36733,7871
t0258,57836,4,28423,52052,40485,8675
t0259,58884,0,28359,52995,41218,8832
t0260,56555,0,28431,50899,39588,8483
t0261,54147,0,27819,48732,37902,8122
t0262,52446,0,26804,47201,36712,7866
t0263,52123,0,25466,46910,36486,7818
t0264,49439,0,24901,44495,34607,7415
t0265,47151,0,24647,42435,33005,7072
t0266,45321,0,24316,40788,31724,6798
t0267,44187,0,23360,39768,30930,6628
t0268,43707,0,22493,39336,30594,6556
t0269,44623,0,22247,40160,31236,6693
t0270,48379,0,23050,43541,33865,7256
t0271,57743,0,24835,51968,40420,8661
t0272,64641,0,25685,58176,45248,9696
t0273,67367,80,26315,60630,47156,10105
t0274,67453,554,26725,60707,47217,10117
t0275,68761,1416,27981,61884,48132,10314
t0276,69896,2111,28788,62906,48927,10484
t0277,69798,2349,28975,62818,48858,10469
t0278,69699,2236,29082,62729,48789,10454
t0279,68973,1486,29016,62075,48281,10345
t0280,67689,639,29020,60920,47382,10153
t0281,67784,138,28420,61005,47448,10167
t0282,69275,2,27958,62347,48492,10391
t0283,69375,0,27862,62437,48562,10406
t0284,67583,0,28215,60824,47308,10137
t0285,64197,0,28157,57777,44937,9629
t0286,61263,0,27752,55136,42884,9189
t0287,58436,0,26256,52592,40905,8765
t0288,54512,0,24498,49060,38158,8176
t0289,50950,0,22871,45855,35665,7642
t0290,48796,0,21475,43916,34157,7319
t0291,48270,0,20407,43443,33789,7240
t0292,48277,0,20233,43449,33793,7241
t0293,49302,0,21040,44371,34511,7395
t0294,51870,0,22130,46683,36309,7780
t0295,58189,0,23620,52370,40732,8728
t0296,64111,0,24561,57699,44877,9616
t0297,65883,514,25485,59294,46118,9882
t0298,65539,3430,25225,58985,45877,9830
t0299,65799,6925,25302,59219,46059,9869
t0300,67179,9542,25082,60461,47025,10076
t0301,67933,10621,24245,61139,47553,10189
t0302,66960,9432,23038,60264,46872,10044
t0303,65799,6588,22299,59219,46059,9869
t0304,64703,2897,21649,58232,45292,9705
t0305,64422,318,20750,57979,45095,9663
t0306,68409,3,19896,61568,47886,10261
t0307,67335,0,19376,60601,47134,10100
t0308,64116,0,18870,57704,44881,9617
t0309,58519,0,17846,52667,40963,8777
t0310,55942,0,18460,50347,39159,8391
t0311,54780,0,18542,49302,38346,8217
t0312,51765,0,17735,46588,36235,7764
t0313,47894,0,16662,43104,33525,7184
t0314,45224,0,15936,40701,31656,6783
t0315,43703,0,14831,39332,30592,6555
t0316,44227,0,14947,39804,30958,6634
t0317,45963,0,15642,41366,32174,6894
t0318,50022,0,17076,45019,35015,7503
t0319,58197,0,19011,52377,40737,8729
t0320,66118,0,21497,59506,46282,9917
t0321,68911,163,22160,62019,48237,10336
t0322,68256,1339,21966,61430,47779,10238
t0323,69626,3025,21477,62663,48738,10443
t0324,69926,3711,21026,62933,48948,10488
t0325,68689,3482,20715,61820,48082,10303
t0326,67969,3149,19175,61172,47578,10195
t0327,66644,2194,16823,59979,46650,9996
t0328,65780,893,14755,59202,46046,9867
t0329,66111,134,14544,59499,46277,9916
t0330,69174,2,14510,62256,48421,10376
t0331,67966,0,14454,61169,47576,10194
t0332,66532,0,14406,59878,46572,9979
t0333,62618,0,14850,56356,43832,9392
t0334,59407,0,15062,53466,41584,8911
t0335,57203,0,14987,51482,40042,8580
t0336,53474,0,14692,48126,37431,8021
t0337,49686,0,14542,44717,34780,7452
t0338,47749,0,14655,42974,33424,7162
t0339,46978,0,15427,42280,32884,7046
t0340,47478,0,16946,42730,33234,7121
t0341,48565,0,18733,43708,33995,7284
t0342,51779,0,20635,46601,36245,7766
