,demand_R1,PV,WindOnshore,demand_R2,demand_R4,demand_R3
t2177,67344,8816,26191,60609,47140,10101
t2178,65807,5078,25621,59226,46064,9871
t2179,64828,1975,24510,58345,45379,9724
t2180,65019,217,22649,58517,45513,9752
t2181,64607,5,20596,58146,45224,9691
t2182,60234,0,19130,54210,42163,9035
t2183,57626,0,18524,51863,40338,8643
t2184,52746,0,18532,47471,36922,7911
t2185,46826,0,18132,42143,32778,7023
t2186,46829,0,18006,42146,32780,7024
t2187,46031,0,17848,41427,32221,6904
t2188,46494,0,17417,41844,32545,6974
t2189,47350,0,16222,42615,33145,7102
t2190,50478,0,14903,45430,35334,7571
t2191,56806,50,14180,51125,39764,8520
t2192,61870,449,13839,55683,43309,9280
t2193,64821,1661,13197,58338,45374,9723
t2194,66542,3560,14182,59887,46579,9981
t2195,68117,5760,15897,61305,47681,10217
t2196,68872,7992,17587,61984,48210,10330
t2197,68218,10065,19165,61396,47752,10232
t2198,67305,11399,21272,60574,47113,10095
t2199,66416,11886,22959,59774,46491,9962
t2200,65289,11163,23753,58760,45702,9793
t2201,64062,9314,24386,57655,44843,9609
t2202,62103,5656,23099,55892,43472,9315
t2203,61582,2372,21990,55423,43107,9237
t2204,61020,333,19077,54918,42714,9153
t2205,60116,6,16126,54104,42081,9017
t2206,57175,0,14752,51457,40022,8576
t2207,54650,0,14765,49185,38255,8197
t2208,50637,0,14265,45573,35445,7595
t2209,46799,0,13944,42119,32759,7019
t2210,44236,0,13643,39812,30965,6635
t2211,42962,0,12667,38665,30073,6444
t2212,42186,0,11590,37967,29530,6327
t2213,42329,0,10642,38096,29630,6349
t2214,41410,0,9370,37269,28986,6211
t2215,39475,165,8479,35527,27632,5921
t2216,40238,1822,7725,36214,28166,6035
t2217,43614,5671,6898,39252,30529,6542
t2218,47021,10264,7448,42318,32914,7053
t2219,49837,14098,8430,44853,34885,7475
t2220,52165,15966,8216,46948,36515,7824
t2221,51117,17880,7574,46005,35781,7667
t2222,48719,18683,7246,43847,34103,7307
t2223,46708,18242,6934,42037,32695,7006
t2224,45212,15914,6524,40690,31648,6781
t2225,44372,11712,6159,39934,31060,6655
t2226,45088,6852,5520,40579,31561,6763
t2227,46119,2605,4789,41507,32283,6917
t2228,46675,331,3819,42007,32672,7001
t2229,48362,6,3592,43525,33853,7254
t2230,47110,0,3777,42399,32977,7066
t2231,46401,0,3941,41760,32480,6960
t2232,43721,0,3698,39348,30604,6558
t2233,40288,0,3349,36259,28201,6043
t2234,38135,0,3028,34321,26694,5720
t2235,37339,0,2802,33605,26137,5600
t2236,37277,0,2687,33549,26093,5591
t2237,37754,0,2546,33978,26427,5663
t2238,38451,0,2484,34605,26915,5767
t2239,38998,56,2448,35098,27298,5849
t2240,40521,952,2347,36468,28364,6078
t2241,44099,3327,1844,39689,30869,6614
t2242,47200,6570,1384,42480,33040,7080
t2243,49177,9718,1801,44259,34423,7376
t2244,51216,11779,2517,46094,35851,7682
t2245,51342,12493,3142,46207,35939,7701
t2246,49629,12493,3605,44666,34740,7444
t2247,47725,11837,4205,42952,33407,7158
t2248,47411,10961,5160,42669,33187,7111
t2249,46798,8582,5414,42118,32758,7019
t2250,47963,5532,5782,43166,33574,7194
t2251,48861,2182,6195,43974,34202,7329
t2252,48076,339,5266,43268,33653,7211
t2253,47919,6,4729,43127,33543,7187
t2254,46060,0,4969,41454,32241,6909
t2255,44832,0,4752,40348,31382,6724
t2256,42178,0,4512,37960,29524,6326
t2257,39191,0,4181,35271,27433,5878
t2258,37553,0,3852,33797,26287,5632
t2259,36598,0,3569,32938,25618,5489
t2260,36192,0,3430,32572,25334,5428
t2261,36511,0,3235,32859,25557,5476
t2262,36166,0,2945,32549,25316,5424
t2263,35001,250,2748,31500,24500,5250
t2264,36171,2706,2599,32553,25319,5425
t2265,39976,8048,1906,35978,27983,5996
t2266,42736,13911,900,38462,29915,6410
t2267,44647,18426,959,40182,31252,6697
t2268,47297,19762,1902,42567,33107,7094
t2269,46119,19070,2502,41507,32283,6917
t2270,42781,18152,2962,38502,29946,6417
t2271,41535,16600,3364,37381,29074,6230
t2272,40325,14124,3931,36292,28227,6048
t2273,39476,10682,4326,35528,27633,5921
t2274,39706,6468,4273,35735,27794,5955
t2275,41351,2742,4064,37215,28945,6202
t2276,42362,421,3340,38125,29653,6354
t2277,44194,6,3235,39774,30935,6629
t2278,44016,0,3369,39614,30811,6602
t2279,43714,0,3330,39342,30599,6557
t2280,41053,0,3334,36947,28737,6157
t2281,38075,0,3200,34267,26652,5711
t2282,35994,0,2878,32394,25195,5399
t2283,34936,0,2757,31442,24455,5240
t2284,34934,0,2739,31440,24453,5240
t2285,35457,0,2910,31911,24819,5318
t2286,35611,0,3135,32049,24927,5341
t2287,34885,137,3290,31396,24419,5232
t2288,35782,1506,3346,32203,25047,5367
t2289,39230,4480,2742,35307,27461,5884
t2290,43149,7568,2464,38834,30204,6472
t2291,45275,10145,2971,40747,31692,6791
t2292,47709,11969,3770,42938,33396,7156
t2293,46911,12960,4726,42219,32837,7036
t2294,44906,13763,5082,40415,31434,6735
t2295,43531,14235,4721,39177,30471,6529
t2296,42449,13144,4501,38204,29714,6367
t2297,41973,10905,4325,37775,29381,6295
t2298,42721,7207,4184,38448,29904,6408
t2299,43984,3004,3569,39585,30788,6597
t2300,44955,514,2872,40459,31468,6743
t2301,47108,8,2580,42397,32975,7066
t2302,46736,0,2640,42062,32715,7010
t2303,46595,0,2512,41935,32616,6989
t2304,43794,0,2105,39414,30655,6569
t2305,41203,0,1712,37082,28842,6180
t2306,39540,0,1258,35586,27678,5931
t2307,38952,0,1029,35056,27266,5842
t2308,39593,0,1330,35633,27715,5938
t2309,41607,0,2099,37446,29124,6241
t2310,45638,2,2968,41074,31946,6845
t2311,53244,304,4151,47919,37270,7986
t2312,59158,2908,5171,53242,41410,8873
t2313,63088,8024,5401,56779,44161,9463
t2314,64235,13315,4110,57811,44964,9635
t2315,65358,16849,3556,58822,45750,9803
t2316,66465,19023,5133,59818,46525,9969
t2317,66725,20410,7627,60052,46707,10008
t2318,66207,20343,9052,59586,46344,9931
t2319,64753,19057,10381,58277,45327,9712
t2320,63519,16312,10955,57167,44463,9527
t2321,61772,12322,10950,55594,43240,9265
t2322,60674,7464,10860,54606,42471,9101
t2323,60363,2966,9822,54326,42254,9054
t2324,60480,467,8375,54432,42336,9072
t2325,61068,6,7501,54961,42747,9160
t2326,58542,0,7178,52687,40979,8781
t2327,55379,0,7201,49841,38765,8306
t2328,50978,0,7068,45880,35684,7646
t2329,47081,0,7133,42372,32956,7062
t2330,44840,0,6634,40356,31387,6726
t2331,43587,0,6131,39228,30510,6538
t2332,44267,0,6135,39840,30986,6640
t2333,45462,0,5956,40915,31823,6819
t2334,48431,2,5633,43587,33901,7264
t2335,54780,284,5526,49302,38346,8217
t2336,59722,1900,5079,53749,41805,8958
t2337,63025,4961,5047,56722,44117,9453
t2338,64440,8380,5019,57996,45108,9666
t2339,65599,11311,4944,59039,45919,9839
t2340,66439,13720,4772,59795,46507,9965
t2341,65710,15566,4223,59139,45997,9856
t2342,64551,16676,3563,58095,45185,9682
t2343,62668,16218,2933,56401,43867,9400
t2344,61442,14672,2580,55297,43009,9216
t2345,59732,11355,2113,53758,41812,8959
t2346,59139,7173,1686,53225,41397,8870
t2347,59298,3039,1296,53368,41508,8894
t2348,59505,530,939,53554,41653,8925
t2349,60073,11,904,54065,42051,9010
t2350,57978,0,819,52180,40584,8696
t2351,54613,0,785,49151,38229,8191
t2352,50283,0,809,45254,35198,7542
t2353,46155,0,875,41539,32308,6923
t2354,43855,0,981,39469,30698,6578
t2355,42769,0,1168,38492,29938,6415
t2356,43550,0,1506,39195,30484,6532
t2357,45210,0,1836,40689,31646,6781
t2358,48446,4,2183,43601,33912,7266
t2359,53550,430,2328,48195,37485,8032
t2360,59031,2812,2481,53127,41321,8854
t2361,61936,7283,2090,55742,43355,9290
t2362,63580,12573,1326,57222,44506,9537
t2363,64607,17253,1087,58146,45224,9691
t2364,65401,20691,947,58860,45780,9810
t2365,64562,22796,672,58105,45193,9684
t2366,63719,23195,442,57347,44603,9557
t2367,62138,21785,286,55924,43496,9320
t2368,60700,18878,222,54630,42490,9105
t2369,58769,14404,201,52892,41138,8815
t2370,57849,8914,188,52064,40494,8677
t2371,57535,3739,208,51781,40274,8630
t2372,57871,660,290,52083,40509,8680
t2373,58708,12,553,52837,41095,8806
t2374,56846,0,760,51161,39792,8526
t2375,53278,0,928,47950,37294,7991
t2376,48771,0,945,43893,34139,7315
t2377,44923,0,990,40430,31446,6738
t2378,42623,0,973,38360,29836,6393
t2379,41561,0,891,37404,29092,6234
t2380,42150,0,762,37935,29504,6322
t2381,43785,0,708,39406,30649,6567
t2382,47023,6,583,42320,32916,7053
t2383,53544,458,583,48189,37480,8031
t2384,58376,3138,750,52538,40863,8756
t2385,61462,8353,872,55315,43023,9219
t2386,62351,14121,525,56115,43645,9352
t2387,63818,18797,342,57436,44672,9572
t2388,64487,21792,373,58038,45140,9673
t2389,63300,23568,401,56970,44310,9495
t2390,61968,23727,472,55771,43377,9295
t2391,60169,22056,547,54152,42118,9025
t2392,58523,18543,597,52670,40966,8778
t2393,56926,13834,665,51233,39848,8538
t2394,56714,8305,771,51042,39699,8507
t2395,56482,3396,1067,50833,39537,8472
t2396,56126,613,1538,50513,39288,8418
t2397,56494,11,2530,50844,39545,8474
t2398,54344,0,4016,48909,38040,8151
t2399,50960,0,5421,45864,35672,7644
t2400,46695,0,6467,42025,32686,7004
t2401,42855,0,6922,38569,29998,6428
t2402,40827,0,7036,36744,28578,6124
t2403,39451,0,7262,35505,27615,5917
t2404,39169,0,7879,35252,27418,5875
t2405,39792,0,8067,35812,27854,5968
t2406,40527,5,8707,36474,28368,6079
t2407,41522,350,9667,37369,29065,6228
t2408,44454,2266,10126,40008,31117,6668
t2409,48695,5792,9760,43825,34086,7304
t2410,51287,9644,8561,46158,35900,7693
t2411,52702,13102,9354,47431,36891,7905
t2412,54186,15183,11728,48767,37930,8127
t2413,54136,15657,14921,48722,37895,8120
t2414,53100,14427,17703,47790,37170,7965
t2415,51990,12945,19349,46791,36393,7798
t2416,51655,10336,20608,46489,36158,7748
t2417,51317,7113,20992,46185,35921,7697
t2418,51734,3983,21260,46560,36213,7760
t2419,51507,1651,19974,46356,36054,7726
t2420,52256,351,21854,47030,36579,7838
t2421,51444,14,19694,46299,36010,7716
t2422,49599,0,18681,44639,34719,7439
t2423,47531,0,17282,42777,33271,7129
t2424,43344,0,16764,39009,30340,6501
t2425,40545,0,16300,36490,28381,6081
t2426,38023,0,15009,34220,26616,5703
t2427,36721,0,13301,33048,25704,5508
t2428,36543,0,11555,32888,25580,5481
t2429,36875,0,9911,33187,25812,5531
t2430,36879,8,8735,33191,25815,5531
t2431,36006,438,8453,32405,25204,5400
t2432,38103,2416,8281,34292,26672,5715
t2433,40983,6233,7528,36884,28688,6147
t2434,43836,11354,7018,39452,30685,6575
t2435,46980,16460,7866,42282,32886,7047
t2436,50038,19289,9402,45034,35026,7505
t2437,49760,20356,10890,44784,34832,7464
t2438,47992,20042,11369,43192,33594,7198
t2439,46290,18968,11619,41661,32402,6943
t2440,44650,16949,11905,40185,31254,6697
t2441,44365,13462,12159,39928,31055,6654
t2442,45387,8569,12297,40848,31770,6808
t2443,47177,3754,12090,42459,33023,7076
t2444,47396,792,10305,42656,33177,7109
t2445,48189,22,10892,43370,33732,7228
t2446,48126,0,14420,43313,33688,7218
t2447,48295,0,18561,43465,33806,7244
t2448,45958,0,22065,41362,32170,6893
t2449,43993,0,24650,39593,30795,6598
t2450,41527,0,25022,37374,29068,6229
t2451,40793,0,25016,36713,28555,6118
t2452,40688,0,23566,36619,28481,6103
t2453,42922,0,21393,38629,30045,6438
t2454,47387,10,19689,42648,33170,7108
t2455,55498,476,18467,49948,38848,8324
t2456,60877,2765,16738,54789,42613,9131
t2457,63290,6729,15639,56961,44303,9493
t2458,64331,11504,15692,57897,45031,9649
t2459,65852,15652,14867,59266,46096,9877
t2460,67477,17882,14516,60729,47233,10121
t2461,67116,18235,14917,60404,46981,10067
t2462,66660,17904,15367,59994,46662,9999
t2463,65453,16863,16176,58907,45817,9817
t2464,64488,14451,16464,58039,45141,9673
t2465,62218,11127,16190,55996,43552,9332
t2466,60793,7278,14822,54713,42555,9118
t2467,59887,3335,12772,53898,41920,8983
t2468,59936,696,9672,53942,41955,8990
t2469,59521,26,7287,53568,41664,8928
t2470,57178,0,6256,51460,40024,8576
t2471,53687,0,5637,48318,37580,8053
t2472,48967,0,5014,44070,34276,7345
t2473,45741,0,4527,41166,32018,6861
t2474,43784,0,4080,39405,30648,6567
t2475,43263,0,4028,38936,30284,6489
t2476,44117,0,4460,39705,30881,6617
t2477,45732,0,5308,41158,32012,6859
t2478,49360,11,5991,44424,34552,7404
t2479,56828,484,6658,51145,39779,8524
t2480,61614,3117,7153,55452,43129,9242
t2481,62329,7723,6533,56096,43630,9349
t2482,63559,13222,5735,57203,44491,9533
t2483,65509,18071,6836,58958,45856,9826
t2484,67208,21130,8784,60487,47045,10081
t2485,66864,22376,10656,60177,46804,10029
t2486,66631,21957,12179,59967,46641,9994
t2487,65639,19947,13328,59075,45947,9845
t2488,64184,16688,13802,57765,44928,9627
t2489,61981,12086,13990,55782,43386,9297
t2490,60963,7333,13129,54866,42674,9144
t2491,60202,3255,11414,54181,42141,9030
t2492,59850,742,9855,53865,41895,8977
t2493,59693,27,9352,53723,41785,8953
t2494,57524,0,9454,51771,40266,8628
t2495,53882,0,9860,48493,37717,8082
t2496,49089,0,9665,44180,34362,7363
t2497,45442,0,9404,40897,31809,6816
t2498,43411,0,9269,39069,30387,6511
t2499,42325,0,9112,38092,29627,6348
t2500,42379,0,8764,38141,29665,6356
t2501,44426,0,8540,39983,31098,6663
t2502,48594,18,8240,43734,34015,7289
t2503,55976,678,8198,50378,39183,8396
t2504,61602,3650,8214,55441,43121,9240
t2505,63884,8808,7294,57495,44718,9582
t2506,64531,14681,6745,58077,45171,9679
t2507,66617,19621,8442,59955,46631,9992
t2508,69271,23079,12157,62343,48489,10390
t2509,68680,24682,15377,61812,48076,10302
t2510,67932,24751,16830,61138,47552,10189
t2511,66058,23421,18389,59452,46240,9908
t2512,66312,20321,19822,59680,46418,9946
t2513,64192,15584,20114,57772,44934,9628
t2514,62979,9615,19574,56681,44085,9446
t2515,62123,4050,18128,55910,43486,9318
t2516,60942,764,14262,54847,42659,9141
t2517,60554,25,12425,54498,42387,9083
t2518,58604,0,11743,52743,41022,8790
t2519,54710,0,11368,49239,38297,8206
t2520,49675,0,9951,44707,34772,7451
t2521,46395,0,8938,41755,32476,6959
t2522,43577,0,7616,39219,30503,6536
t2523,42249,0,6269,38024,29574,6337
t2524,42326,0,5539,38093,29628,6348
t2525,44064,0,5172,39657,30844,6609
t2526,48065,18,4707,43258,33645,7209
t2527,55421,619,4454,49878,38794,8313
t2528,60619,3477,4129,54557,42433,9092
t2529,63578,8124,4192,57220,44504,9536
t2530,64854,12324,5051,58368,45397,9728
t2531,65706,15909,5171,59135,45994,9855
t2532,66541,17925,5367,59886,46578,9981
t2533,66089,18895,6053,59480,46262,9913
t2534,65321,18476,6566,58788,45724,9798
t2535,63784,16980,7031,57405,44648,9567
t2536,62450,14036,7436,56205,43715,9367
t2537,60880,10465,7796,54792,42616,9132
t2538,60008,6506,7803,54007,42005,9001
t2539,58621,2903,7501,52758,41034,8793
t2540,58181,614,6507,52362,40726,8727
t2541,57566,28,5596,51809,40296,8634
t2542,55328,0,5375,49795,38729,8299
t2543,51282,0,5122,46153,35897,7692
t2544,47056,0,4879,42350,32939,7058
t2545,43406,0,4737,39065,30384,6510
t2546,41289,0,4660,37160,28902,6193
t2547,40361,0,4555,36324,28252,6054
t2548,40937,0,4368,36843,28655,6140
t2549,42272,0,4236,38044,29590,6340
t2550,46371,15,4438,41733,32459,6955
t2551,53469,440,4602,48122,37428,8020
t2552,58695,2227,4220,52825,41086,8804
t2553,61202,5197,3781,55081,42841,9180
t2554,61689,8554,4240,55520,43182,9253
t2555,63917,10866,4567,57525,44741,9587
t2556,64489,12397,4705,58040,45142,9673
t2557,63742,13671,5055,57367,44619,9561
t2558,62217,13515,5754,55995,43551,9332
t2559,60749,11985,6901,54674,42524,9112
t2560,59406,9975,8326,53465,41584,8910
t2561,58245,7674,9207,52420,40771,8736
t2562,57539,4823,10069,51785,40277,8630
t2563,57135,2350,10372,51421,39994,8570
t2564,56052,589,9056,50446,39236,8407
t2565,54910,33,7631,49419,38437,8236
t2566,53575,0,7666,48217,37502,8036
t2567,50881,0,7610,45792,35616,7632
t2568,46797,0,7255,42117,32757,7019
t2569,43122,0,6849,38809,30185,6468
t2570,40447,0,6157,36402,28312,6067
t2571,39560,0,5596,35604,27692,5934
t2572,39734,0,5115,35760,27813,5960
t2573,40172,0,4803,36154,28120,6025
t2574,40721,30,4366,36648,28504,6108
t2575,41236,825,4086,37112,28865,6185
t2576,44414,4104,3142,39972,31089,6662
t2577,48796,9458,1860,43916,34157,7319
t2578,51871,15069,1676,46683,36309,7780
t2579,53757,17899,2653,48381,37629,8063
t2580,54606,18312,3378,49145,38224,8190
t2581,52381,18860,3486,47142,36666,7857
t2582,50445,19506,3336,45400,35311,7566
t2583,49175,19182,3567,44257,34422,7376
t2584,48020,17492,3905,43218,33614,7203
t2585,47340,14086,4026,42606,33138,7101
t2586,47361,9367,3919,42624,33152,7104
t2587,48200,4539,3752,43380,33740,7230
t2588,47617,1087,3306,42855,33331,7142
t2589,47270,45,3106,42543,33089,7090
t2590,46517,0,3220,41865,32561,6977
t2591,44518,0,3148,40066,31162,6677
t2592,41251,0,3242,37125,28875,6187
t2593,38444,0,3139,34599,26910,5766
t2594,36340,0,2916,32706,25438,5451
t2595,35468,0,2527,31921,24827,5320
t2596,35612,0,2317,32050,24928,5341
t2597,35765,0,2134,32188,25035,5364
t2598,36082,30,1847,32473,25257,5412
t2599,35276,828,1623,31748,24693,5291
t2600,36987,4279,1463,33288,25890,5548
t2601,41051,9588,1052,36945,28735,6157
t2602,44332,15118,872,39898,31032,6649
t2603,46108,19761,1202,41497,32275,6916
t2604,47876,22982,1285,43088,33513,7181
t2605,47377,25003,1141,42639,33163,7106
t2606,45383,25012,1119,40844,31768,6807
t2607,43685,23412,1132,39316,30579,6552
t2608,42418,20429,1241,38176,29692,6362
t2609,41576,16077,1504,37418,29103,6236
t2610,42430,10323,1682,38187,29700,6364
t2611,44686,4769,1940,40217,31280,6702
t2612,45484,1194,2165,40935,31838,6822
t2613,46043,51,2625,41438,32230,6906
t2614,46088,0,3389,41479,32261,6913
t2615,44824,0,3909,40341,31376,6723
t2616,41551,0,4180,37395,29085,6232
t2617,38930,0,4342,35037,27251,5839
t2618,37589,0,4374,33830,26312,5638
t2619,37169,0,4146,33452,26018,5575
t2620,37690,0,4116,33921,26383,5653
t2621,39649,0,4318,35684,27754,5947
t2622,44400,38,4588,39960,31079,6660
t2623,52085,968,4972,46876,36459,7812
t2624,57813,4532,4656,52031,40469,8671
t2625,60352,10253,3007,54316,42246,9052
t2626,61199,16173,2344,55079,42839,9179
t2627,62563,20885,2816,56306,43794,9384
t2628,63896,23988,3370,57506,44727,9584
t2629,63433,25478,4071,57089,44403,9514
t2630,62564,25500,4940,56307,43794,9384
t2631,61993,24145,5676,55793,43395,9298
t2632,61206,21030,6125,55085,42844,9180
t2633,59261,16267,6520,53334,41482,8889
t2634,58192,10245,6625,52372,40734,8728
t2635,57507,4723,6299,51756,40254,8626
t2636,57652,1194,5308,51886,40356,8647
t2637,56591,54,5262,50931,39613,8488
t2638,55228,0,5667,49705,38659,8284
t2639,51426,0,5491,46283,35998,7713
t2640,46425,0,4995,41782,32497,6963
t2641,43214,0,4313,38892,30249,6482
t2642,41526,0,3722,37373,29068,6228
t2643,40612,0,3319,36550,28428,6091
t2644,40787,0,3386,36708,28550,6118
t2645,42321,0,4518,38088,29624,6348
t2646,46084,45,6068,41475,32258,6912
t2647,52894,1052,7295,47604,37025,7934
t2648,58676,4834,8019,52808,41073,8801
t2649,61502,10585,6351,55351,43051,9225
t2650,62222,16393,5771,55999,43555,9333
t2651,64202,21076,7048,57781,44941,9630
t2652,66746,24015,8960,60071,46722,10011
t2653,66938,25447,11051,60244,46856,10040
t2654,65969,25540,12263,59372,46178,9895
t2655,64149,24152,12966,57734,44904,9622
t2656,62735,21066,14214,56461,43914,9410
t2657,60534,16281,14527,54480,42373,9080
t2658,59645,10402,14221,53680,41751,8946
t2659,58799,4809,13133,52919,41159,8819
t2660,58565,1209,11969,52708,40995,8784
t2661,57564,65,11211,51807,40294,8634
t2662,55914,0,11084,50322,39139,8387
t2663,52137,0,10907,46923,36495,7820
t2664,47723,0,10448,42950,33406,7158
t2665,43586,0,9854,39227,30510,6537
t2666,41989,0,9423,37790,29392,6298
t2667,41167,0,9437,37050,28816,6175
t2668,41906,0,9109,37715,29334,6285
t2669,43570,0,8767,39213,30498,6535
t2670,47475,40,8367,42727,33232,7121
t2671,54557,799,7826,49101,38189,8183
t2672,59819,3397,6907,53837,41873,8972
t2673,62670,7312,5797,56403,43869,9400
t2674,63897,11438,5082,57507,44727,9584
t2675,65156,15254,4453,58640,45609,9773
t2676,66224,18029,3837,59601,46356,9933
t2677,65433,19562,3273,58889,45803,9814
t2678,64466,19838,3033,58019,45126,9669
t2679,62842,18937,2831,56557,43989,9426
t2680,60886,17011,2883,54797,42620,9132
t2681,58911,13669,2801,53019,41237,8836
t2682,58404,9136,2451,52563,40882,8760
t2683,57901,4366,2116,52110,40530,8685
t2684,57715,1209,1976,51943,40400,8657
t2685,56873,79,2015,51185,39811,8530
t2686,56007,0,2163,50406,39204,8401
t2687,51980,0,2377,46782,36386,7797
t2688,47475,0,2577,42727,33232,7121
t2689,43971,0,2730,39573,30779,6595
t2690,42223,0,2911,38000,29556,6333
t2691,41458,0,3164,37312,29020,6218
t2692,42280,0,3351,38052,29595,6342
t2693,43883,0,3250,39494,30718,6582
t2694,47398,45,3200,42658,33178,7109
t2695,54289,908,3106,48860,38002,8143
t2696,59521,3951,2782,53568,41664,8928
t2697,61813,8311,2025,55631,43269,9271
t2698,62403,12751,1602,56162,43682,9360
t2699,63298,16772,1614,56968,44308,9494
t2700,64105,19879,1545,57694,44873,9615
t2701,63286,21562,1612,56957,44300,9492
t2702,62765,22058,1863,56488,43935,9414
t2703,61138,21091,1879,55024,42796,9170
t2704,60551,18426,2175,54495,42385,9082
t2705,58560,14519,2051,52704,40992,8784
t2706,57850,9576,1932,52065,40495,8677
t2707,57816,4709,1832,52034,40471,8672
t2708,57693,1281,1596,51923,40385,8653
t2709,57034,78,1701,51330,39923,8555
t2710,56335,0,2139,50701,39434,8450
t2711,52045,0,2211,46840,36431,7806
t2712,46987,0,1973,42288,32890,7048
t2713,43974,0,1782,39576,30781,6596
t2714,42270,0,1602,38043,29588,6340
t2715,41435,0,1424,37291,29004,6215
t2716,41911,0,1253,37719,29337,6286
t2717,43479,0,1122,39131,30435,6521
t2718,47102,65,1108,42391,32971,7065
t2719,54035,1133,1256,48631,37824,8105
t2720,59487,4643,1412,53538,41640,8923
t2721,62086,9824,1243,55877,43460,9312
t2722,62936,15210,796,56642,44055,9440
t2723,63910,20042,1042,57519,44737,9586
t2724,64298,23330,1613,57868,45008,9644
t2725,63640,24807,2432,57276,44548,9546
t2726,62857,24942,3355,56571,43999,9428
t2727,61465,23402,3909,55318,43025,9219
t2728,59976,20304,4275,53978,41983,8996
t2729,58451,15816,4048,52605,40915,8767
t2730,57997,10251,3491,52197,40597,8699
t2731,56988,4474,2716,51289,39891,8548
t2732,56722,1227,1885,51049,39705,8508
t2733,55479,80,1695,49931,38835,8321
t2734,53819,0,2092,48437,37673,8072
t2735,50335,0,2773,45301,35234,7550
t2736,46113,0,3695,41501,32279,6916
t2737,43098,0,4690,38788,30168,6464
t2738,41135,0,5728,37021,28794,6170
t2739,39783,0,6574,35804,27848,5967
t2740,39582,0,7052,35623,27707,5937
t2741,39833,0,7076,35849,27883,5974
t2742,40187,35,7261,36168,28130,6028
t2743,41113,768,6911,37001,28779,6166
t2744,44517,3176,6576,40065,31161,6677
t2745,48895,6011,5721,44005,34226,7334
t2746,52136,8745,4802,46922,36495,7820
t2747,53772,10868,4359,48394,37640,8065
t2748,54582,11960,4682,49123,38207,8187
t2749,53953,12428,5633,48557,37767,8092
t2750,52150,11768,6875,46935,36505,7822
t2751,50739,10256,7873,45665,35517,7610
t2752,49936,7725,8492,44942,34955,7490
t2753,49054,5302,8151,44148,34337,7358
t2754,50198,3312,7721,45178,35138,7529
t2755,49837,1584,6914,44853,34885,7475
t2756,49205,441,5805,44284,34443,7380
t2757,48213,40,5061,43391,33749,7231
t2758,47199,0,5281,42479,33039,7079
t2759,45048,0,5153,40543,31533,6757
t2760,41547,0,5400,37392,29082,6232
t2761,37886,0,5526,34097,26520,5682
t2762,35681,0,5336,32112,24976,5352
t2763,34510,0,4991,31059,24157,5176
t2764,34168,0,4586,30751,23917,5125
t2765,34642,0,3955,31177,24249,5196
t2766,34929,41,3524,31436,24450,5239
t2767,34694,658,3095,31224,24285,5204
t2768,36766,2736,2597,33089,25736,5514
t2769,40374,6157,2165,36336,28261,6056
t2770,43832,10101,2181,39448,30682,6574
t2771,46534,13153,2553,41880,32573,6980
t2772,48630,15023,3271,43767,34041,7294
t2773,48798,15979,3976,43918,34158,7319
t2774,46681,15896,4258,42012,32676,7002
t2775,44948,14821,4355,40453,31463,6742
t2776,44684,13231,3964,40215,31278,6702
t2777,44130,10125,3178,39717,30890,6619
t2778,45270,6540,2360,40743,31688,6790
t2779,47127,3299,1824,42414,32988,7069
t2780,47122,959,1604,42409,32985,7068
t2781,47081,78,1293,42372,32956,7062
t2782,47062,0,1401,42355,32943,7059
t2783,46063,0,1322,41456,32244,6909
t2784,42430,0,1385,38187,29700,6364
t2785,39864,0,1529,35877,27904,5979
t2786,38364,0,1732,34527,26854,5754
t2787,37799,0,2089,34019,26459,5669
t2788,38397,0,2521,34557,26877,5759
t2789,40621,0,3063,36558,28434,6093
t2790,45000,36,3540,40500,31499,6750
t2791,53538,607,4031,48184,37476,8030
t2792,59661,2685,3959,53694,41762,8949
t2793,62987,5647,3932,56688,44090,9448
t2794,64186,8696,3988,57767,44930,9627
t2795,65550,11810,4445,58995,45885,9832
t2796,67190,13912,4658,60471,47033,10078
t2797,66765,14596,5085,60088,46735,10014
t2798,65845,14389,5678,59260,46091,9876
t2799,64940,13363,6629,58446,45458,9741
t2800,63755,11376,7714,57379,44628,9563
t2801,62031,8841,8839,55827,43421,9304
t2802,61338,5851,9165,55204,42936,9200
t2803,60483,2773,8709,54434,42338,9072
t2804,59761,719,8078,53784,41832,8964
t2805,57952,70,7127,52156,40566,8692
t2806,56030,0,6743,50427,39221,8404
t2807,51923,0,6268,46730,36346,7788
t2808,46752,0,6055,42076,32726,7012
t2809,43869,0,5842,39482,30708,6580
t2810,42367,0,5618,38130,29656,6355
t2811,41723,0,4865,37550,29206,6258
t2812,42515,0,4035,38263,29760,6377
t2813,44255,0,3421,39829,30978,6638
t2814,47795,66,3077,43015,33456,7169
t2815,54992,777,2892,49492,38494,8248
t2816,60460,2566,2997,54414,42322,9069
t2817,63242,5117,2793,56917,44269,9486
t2818,63308,7907,3166,56977,44315,9496
t2819,64482,10222,3638,58033,45137,9672
t2820,65606,11874,3867,59045,45924,9840
t2821,65067,12462,4319,58560,45546,9760
t2822,64353,12186,5350,57917,45047,9652
t2823,62630,11673,6252,56367,43841,9394
t2824,61552,11044,7178,55396,43086,9232
t2825,60632,9063,8682,54568,42442,9094
t2826,59379,6592,8466,53441,41565,8906
t2827,59626,3793,8109,53663,41738,8943
