,,lifeTime,levelUpperLimit
Battery,2020,20,1
Battery,2030,20,1
Battery,2040,20,1
Battery,2050,20,1
H2_storage,2020,40,1
H2_storage,2035,40,1
H2_storage,2050,40,1
Lake_Hawea,1950,100,1
