region,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
BOP,2022,4.1591429,3.7878571,3.5307143,3.6181429,3.3207143,3.5474286,4.066,3.6192857,3.7071429,3.3555714,3.2222857,3.727,4.8031429,3.981,3.7905714,3.646,4.2185714,4.5335714,3.9765714,3.9328571,3.9255714,4.409,4.0032857,3.9327143,5.9414286,5.7961429,5.2941429,6.0477143,5.5421429,6.373,3.8495714,5.8437143,3.8521429,6.5587143,6.1518571,4.1068571,4.62,5.1082857,7.0277143,4.8642857,5.413,5.2724286,5.9588571,4.8177143,6.6615714,5.5458571,4.446,5.9514286,4.9868571,2.7527143,2.6922857,3.6033333
CAN,2022,5.430399912,4.945284914,4.609725259,4.72397839,4.335751426,4.631451985,5.308790812,4.725417059,4.83985829,4.381370667,4.207013817,4.866052314,6.271191592,5.197593136,4.949003978,4.760231906,5.507802118,5.919078333,5.192027981,5.134667791,5.12533274,5.756768754,5.227013704,5.134756538,7.757262998,7.56724996,6.912302051,7.896133514,7.235675134,8.320637797,5.026220603,7.629845127,5.029578069,8.563084638,8.031845467,5.362160894,6.03200402,6.669617695,9.175692575,6.35095135,7.067471399,6.883717806,7.780108255,6.290036403,8.697452667,7.240469804,5.804661066,7.770394222,6.510822995,3.593943463,3.515048298,4.704702463
CEN,2022,4.554018323,4.577198751,4.578541393,4.552311355,4.446068197,4.413364048,4.631287814,4.657339832,4.591466274,4.601458167,4.406875422,4.411968105,4.379021326,4.373159106,4.736096282,4.499297917,4.723509408,4.723886245,4.922315498,5.082199252,5.36127166,5.452625881,5.508433177,5.659672539,5.930255197,6.008270259,6.199505889,6.165827273,6.398871197,6.221918097,6.184941828,6.36085293,6.496419745,6.321314611,6.242476709,6.13300092,5.984940326,6.239907337,6.178451112,6.144698094,6.102029163,5.803888682,5.907859674,5.483631199,5.46406426,5.36602954,5.199185691,5.150776716,5.090762353,5.121079327,5.18014472,5.036986925
HBY,2022,15.38951847,15.46780578,15.47234831,15.38378812,15.02470786,14.91422793,15.65058588,15.73863403,15.5160915,15.5498122,14.89228732,14.90947833,14.7981541,14.77836758,16.00481702,15.20457143,15.96230337,15.96358908,16.63413804,17.17445265,18.11748957,18.42621188,18.61481701,19.1259053,20.04026003,20.3039069,20.95012199,20.83633869,21.6239053,21.02591172,20.90095185,21.49538684,21.95351043,21.36183467,21.09528411,20.72541252,20.22508347,21.08669663,20.87906581,20.7649374,20.62075923,19.61325361,19.96463723,18.53100802,18.4648764,18.13357624,17.56972392,17.40616694,17.20341573,17.30580899,17.50539646,17.02159332
NEL,2022,12.24125522,12.30350883,12.3071252,12.23664687,11.95106259,11.86315891,12.44890851,12.51895827,12.34191172,12.36876725,11.84573034,11.8594061,11.77086036,11.75513804,12.73065329,12.0941573,12.69682665,12.69788603,13.23124077,13.66101606,14.41112038,14.65674157,14.80672071,15.21327287,15.94058909,16.15029213,16.66429856,16.57380096,17.20025361,16.72456501,16.62519583,17.09802728,17.46242375,16.99179614,16.77978331,16.48552809,16.08755698,16.77291333,16.60776244,16.51702569,16.40230337,15.60089887,15.88042697,14.74008668,14.68744943,14.423939,13.97544302,13.84535634,13.68405778,13.76550722,13.92429855,13.53946098
OTG,2022,12.83505473,12.90033678,12.90414874,12.83027007,12.53080003,12.4386738,13.05279648,13.12622994,12.94061034,12.96874288,12.420351,12.43468984,12.34185172,12.32534629,13.34820597,12.68083077,13.31276193,13.31382554,13.87307807,14.32370353,15.11020163,15.36770385,15.52498479,15.95124598,16.71385196,16.93372003,17.47266275,17.37777887,18.03459999,17.53588046,17.43167429,17.9274413,18.30950904,17.81604065,17.59374831,17.28527348,16.86797656,17.58656448,17.41338658,17.31821966,17.19798174,16.35770789,16.6507429,15.45510996,15.39993196,15.12361094,14.65338174,14.51697539,14.34785541,14.43325408,14.59974055,14.19623477
WTO,2022,10.81766907,10.87269519,10.8758976,10.81362091,10.56123514,10.48355914,11.0011902,11.06308078,10.90663184,10.93035582,10.46814937,10.48023474,10.40199087,10.38808029,11.25016792,10.68768039,11.22028276,11.2211942,11.69253253,12.07233249,12.73521844,12.95224575,13.08479911,13.44406159,14.08680016,14.27211499,14.72635296,14.64637446,15.19996609,14.77961894,14.69179704,15.10963939,15.43165947,15.01575688,14.82840674,14.56838928,14.21669218,14.8223464,14.67638835,14.59619163,14.49483313,13.78663004,14.03362591,13.0259101,12.97940444,12.74652928,12.3501931,12.2352277,12.09269181,12.1646751,12.30498909,11.96490709
