,2020,2030,2040,2050,2060,2070,2080,2090,2100
t0001,9.068729796649251e-05,9.10598327200563e-05,8.732945961035553e-05,8.96104104434514e-05,8.96104627658401e-05,0.00033458870708942133,0.00015996182403627088,9.117778211422348e-05,9.117778382544431e-05
t0002,8.62807084256612e-05,8.663008314897694e-05,8.284209367482859e-05,8.510593636866169e-05,8.51059794751076e-05,0.0003184591721137803,0.00015225049963135293,8.655435764980961e-05,8.655432827538813e-05
t0003,8.474863256038916e-05,8.507013381815732e-05,8.123751445379783e-05,8.347542469148147e-05,8.347544607318812e-05,0.00031285105437562537,0.0001495693152447267,8.48020712038605e-05,8.480206638358516e-05
t0004,8.641890619852461e-05,8.67076453176326e-05,8.284366371320532e-05,8.148475921155534e-05,8.148468592203089e-05,0.0003189642358979077,0.00015249176935086466,8.624937048852681e-05,8.624931401122358e-05
t0005,9.094296384628986e-05,9.119464315605305e-05,8.731238544300846e-05,8.602882082327205e-05,8.602874341901768e-05,0.000335523257936962,0.00016040854177021394,9.054877553754018e-05,9.054882274953354e-05
t0006,9.738528335793991e-05,9.759616023914761e-05,9.370852553506e-05,9.246999143116165e-05,9.246995284852175e-05,0.0003591036011262349,0.00017168184307491007,9.676544464121632e-05,9.676543397421586e-05
t0007,0.00010445601885341619,0.00010462239574189054,0.00010074190495327188,9.938590320454284e-05,9.938592591267262e-05,0.0003849833457269133,0.0001840547302482979,0.00010361027234985765,0.00010361027809990197
t0008,0.00011082847171322975,0.0001109474059239302,0.00010708662628848511,0.00010532434302122294,0.00010532433997809977,0.00040830770324925116,0.00019520581632389636,0.00010975769042988756,0.00010975771270842042
t0009,0.00011545809710415453,0.0001155270034943171,0.00011169782900097762,0.00010916495265840506,0.00010916494059083565,0.0004252531417474407,0.00020330696516645332,0.00011416403413446346,0.0001141639900924675
t0010,0.00011781820795849994,0.00011783460992027333,0.0001140489614701494,0.00011038752713865797,0.00011038755525136478,0.0004338908295374492,0.000207436470256524,0.00011630318412203357,0.00011630318592547116
t0011,0.00011799364235349602,0.00011795649332816081,0.00011422519827793873,0.00010917608665316576,0.00010917610254644584,0.00043453282533706416,0.00020774341310201636,0.00011626135085060645,0.00011626131586831935
t0012,0.00011661166462486175,0.00011651921885592924,0.00011285337724626004,0.00010633459840694168,0.0001063344969608214,0.00042947324831377003,0.00020532474562271909,0.00011466612761066858,0.00011466615771269901
t0013,0.00011462737493616438,0.00011447965040056538,0.00011088945549175235,0.00010303816276368951,0.00010303816852448664,0.0004222113819019236,0.00020185267417882882,0.00011247430915749543,0.0001124743512426655
t0014,0.0001130319584249966,0.00011282842042228027,0.00010932353846574887,0.00010049064290691153,0.00010049057899686684,0.0004163704391047944,0.0001990603371484974,0.00011067689177232651,0.0001106768514847659
t0015,0.00011255364057780818,0.00011229498265009739,0.00010888432022985518,9.957842853061353e-05,9.957846964694829e-05,0.00041461957840824976,0.00019822326818713467,0.00011000360222814151,0.00011000356276139221
t0016,0.00011344578397818208,0.00011313286512509877,0.000109824969472321,0.00010061992095718873,0.00010061982936921658,0.0004178848178042657,0.00019978432190362607,0.00011070836094497664,0.00011070834504949311
t0017,0.00011541011176635472,0.00011504474620077096,0.00011184698264676814,0.00010327352304182574,0.00010327345747513313,0.00042507435810704164,0.0002032216252219972,0.00011249371828793233,0.00011249373889956403
t0018,0.0001176823134818509,0.00011726582068346511,0.00011418594731852017,0.0001066338245161359,0.00010663384031582179,0.0004333902353443318,0.00020719713209954116,0.00011459584017714465,0.00011459588883417469
t0019,0.00011925239373466038,0.00011878804419755764,0.00011583193630173751,0.00010948644675712069,0.00010948648101665174,0.00043913731673025144,0.00020994486759511567,0.0001160061113634532,0.0001160060905634201
t0020,0.00012118293984502198,0.00012046908548556419,0.00011753680172408269,0.00011231231648291654,0.00011231235839209819,0.0004447864734404071,0.0002126457188002174,0.00011739669076208547,0.0001173967225920402
t0021,0.00012275647504215306,0.000121602970522578,0.00011859971770513731,0.0001142253532771499,0.00011422536537519811,0.00044778881961974535,0.00021408104535574054,0.00011807205312602585,0.00011807210481827147
t0022,0.00011833222689701141,0.00011711597268415755,0.00011423815109454685,0.00011046299088092504,0.0001104628984517335,0.00043141914570893184,0.0002062548807786533,0.00011347265452695863,0.00011347267904014588
t0023,0.00010811365324186822,0.00010724816534947513,0.00010470998069569126,0.00010126785759673587,0.00010126785699663055,0.00039667295152382527,0.00018964326743401845,0.0001038716360771973,0.00010387169289151062
t0024,9.858146185861336e-05,9.793226296998885e-05,9.566440084288688e-05,9.221994046549393e-05,9.221982357052991e-05,0.0003634736421546262,0.00017377109134474302,9.470364851815445e-05,9.470360672507966e-05
t0025,9.211188667509301e-05,9.143999287322915e-05,8.9318305724094e-05,8.56307805105765e-05,8.563084506959556e-05,0.00033979212367794565,0.00016244950097682586,8.814505837391752e-05,8.814502635970316e-05
t0026,8.758629349651818e-05,8.689785730266913e-05,8.492317954320066e-05,8.094646149263802e-05,8.094650208505351e-05,0.00032322781939497043,0.0001545302702051671,8.354424648865343e-05,8.354423525362696e-05
t0027,8.592868798756185e-05,8.52294792258717e-05,8.340240112052854e-05,7.919765112112519e-05,7.919762658558516e-05,0.0003171601464356988,0.0001516294144800335,8.18248425015513e-05,8.182483225450181e-05
t0028,8.746690597607227e-05,8.676331068357256e-05,8.50831272028313e-05,8.075795677578646e-05,8.075801724372698e-05,0.0003227893931495372,0.00015432078346908453,7.97532475941912e-05,7.975326566598466e-05
t0029,9.185314973367647e-05,9.115190481822238e-05,8.961759428966053e-05,8.524944119002203e-05,8.524956281318406e-05,0.0003388437577309196,0.00016199593497573503,8.422488512106211e-05,8.422489674793388e-05
t0030,9.815189711462955e-05,9.74600307186499e-05,9.60698632536806e-05,9.164019954385615e-05,9.164028976163298e-05,0.0003618991271397479,0.00017301848434486875,9.060248041302091e-05,9.060243462706052e-05
t0031,0.00010507445388698002,0.00010439894282743017,0.00010315014756839767,9.850817328423982e-05,9.850819031241726e-05,0.00038723642592239724,0.00018513183975301764,9.746398489878522e-05,9.746393575374398e-05
t0032,0.0001112945053139414,0.00011064269740421149,0.00010953215731505853,0.00010440176784424483,0.00010440170287459435,0.0004100028972213988,0.0001960161946030424,0.00010335738833969916,0.00010335741936345043
t0033,0.00011576789044499005,0.00011514710715804444,0.00011417142446353531,0.00010820124355633873,0.00010820120719622,0.00042637663439676685,0.00020384411514606495,0.00010716289697244918,0.00010716295244923248
t0034,0.00011796868997784011,0.00011738638500685164,0.00011654100488363382,0.0001093865500819065,0.00010938665761818338,0.000434431243723201,0.00020769494844220178,0.00010836032725751034,0.0001083603450619107
t0035,0.00011798250975512647,0.0001174465352600948,0.0001167264656668865,0.00010814248080621274,0.00010814248008886188,0.0004344820345301326,0.0002077191807721091,0.00010713378327679383,0.00010713382545295297
t0036,0.00011643699799527047,0.00011595438687262386,0.00011535484089000492,0.00010527315757308688,0.00010527309645461664,0.0004288247512908679,0.00020501446644194965,0.00010428723643815448,0.00010428720769781057
t0037,0.00011428879039264898,0.00011386706755832573,0.00011338208766962805,0.00010195445394031328,0.00010195444410706153,0.0004209607090720409,0.00020125476777785547,0.00010099616398106217,0.00010099622120567884
t0038,0.00011252830431944989,0.00011217494596051123,0.00011179831145708913,9.939023309139423e-05,9.93902384864311e-05,0.0004145167778150202,0.00019817410114094598,9.846402621168469e-05,9.846408398849183e-05
t0039,0.00011188568467563496,0.00011160773962510413,0.0001113329913331821,9.846750327559999e-05,9.846747454252102e-05,0.00041216333498503955,0.00019704905376619227,9.757742467085335e-05,9.757744001737072e-05
t0040,0.00011261429404478713,0.00011241897659318639,0.00011223929598615667,9.950466581532379e-05,9.950477537184014e-05,0.0004148300555121741,0.000198323885035228,9.865434875286207e-05,9.865431968294244e-05
t0041,0.00011441662333254766,0.0001143108075844442,0.00011421931063402595,0.00010216089675983487,0.00010216094028584993,0.00042142757816935575,0.000201478126644827,0.00010135325429346927,0.00010135329997569301
t0042,0.00011652912984384609,0.00011651895503902905,0.0001165086228421135,0.00010553078584074453,0.0001055307093164835,0.0004291591579637053,0.00020517443493865649,0.00010476841327864604,0.00010476834926760282
t0043,0.00011794296983677941,0.00011803458313061686,0.00011809809044376811,0.00010839979979623815,0.00010839983926991941,0.0004343337253738924,0.00020764823974832251,0.00010768487067449018,0.00010768487181381605
t0044,0.00012005701187888745,0.00012002323492424417,0.00012003277023350896,0.0001115358749871728,0.00011153584143476242,0.00044045706505756106,0.0002105757861556729,0.00011083414341649735,0.00011083413726467527
