year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
Hour_46 in MW,"3,041.26","4,417.82","5,934.36","7,089.90","8,643.73","10,474.31","11,587.49","11,566.17","11,972.44"
Hour_47 in MW,"2,767.84","4,039.32","5,438.02","6,489.77","7,912.07","9,594.97","10,614.70","10,592.86","10,964.94"
Hour_48 in MW,"2,515.29","3,685.79","4,971.02","5,905.83","7,200.16","8,762.79","9,694.07","9,643.69","9,982.43"
Hour_49 in MW,"2,343.50","3,440.75","4,643.15","5,483.69","6,685.50","8,168.72","9,036.86","8,956.03","9,270.61"
Hour_50 in MW,"2,222.55","3,269.80","4,414.52","5,185.20","6,321.59","7,750.44","8,574.13","8,471.14","8,768.69"
Hour_51 in MW,"2,176.50","3,207.93","4,332.20","5,077.00","6,189.68","7,591.19","8,397.96","8,298.35","8,589.84"
Hour_52 in MW,"2,213.92","3,267.57","4,412.91","5,183.25","6,319.22","7,720.56","8,541.08","8,477.26","8,775.03"
Hour_53 in MW,"2,325.74","3,435.54","4,638.94","5,702.12","6,951.80","8,107.26","8,968.88","8,967.66","9,282.66"
Hour_54 in MW,"2,487.63","3,676.38","4,962.64","6,115.25","7,455.47","8,667.07","9,588.19","9,659.96","9,999.28"
Hour_55 in MW,"2,666.01","3,941.19","5,318.31","6,569.59","8,009.38","9,283.89","10,270.55","10,403.15","10,768.57"
Hour_56 in MW,"2,826.33","4,179.71","5,638.42","6,979.39","8,508.99","9,838.29","10,883.87","11,043.08","11,430.98"
Hour_57 in MW,"2,941.41","4,352.35","5,869.76","7,277.11","8,871.96","10,236.25","11,324.12","11,460.83","11,863.40"
Hour_58 in MW,"2,997.55","4,439.15","5,985.52","7,428.71","9,056.79","10,430.38","11,538.89","11,601.15","12,008.64"
Hour_59 in MW,"2,997.00","4,443.34","5,990.08","7,439.72","9,070.22","10,428.43","11,536.73","11,483.51","11,886.88"
Hour_60 in MW,"2,956.08","4,388.68","5,915.41","7,350.70","8,961.68","10,286.94","11,380.20","11,193.23","11,586.40"
Hour_61 in MW,"2,899.73","4,311.41","5,810.26","7,223.45","8,806.55","10,092.07","11,164.62","10,855.01","11,236.30"
Hour_62 in MW,"2,853.76","4,249.06","5,725.11","7,122.04","8,682.90","9,933.07","10,988.73","10,596.54","10,968.76"
Hour_63 in MW,"2,837.17","4,229.27","5,697.13","7,093.59","8,648.23","9,875.69","10,925.24","10,511.91","10,881.15"
Hour_64 in MW,"2,856.57","4,261.64","5,739.26","7,154.49","8,722.47","9,942.76","10,999.44","10,634.83","11,008.39"
Hour_65 in MW,"2,904.20","4,334.85","5,836.33","7,285.45","8,882.14","10,107.47","11,181.66","10,929.03","11,312.92"
Hour_66 in MW,"2,960.17","4,419.92","5,949.41","7,437.03","9,066.93","10,300.99","11,395.75","11,298.36","11,695.23"
Hour_67 in MW,"2,998.18","4,478.60","6,027.10","7,543.94","9,197.27","10,432.45","11,541.18","11,613.88","12,021.83"
Hour_68 in MW,"3,056.56","4,557.55","6,125.88","7,674.15","9,356.02","10,593.59","11,719.45","11,959.66","12,379.75"
Hour_69 in MW,"3,096.23","4,603.23","6,176.12","7,740.58","9,437.01","10,664.27","11,797.64","12,174.20","12,601.83"
Hour_70 in MW,"2,972.97","4,426.24","5,937.42","7,446.47","9,078.44","10,237.79","11,325.83","11,766.93","12,180.25"
