accNodesModel,accYears,indicator,value
HBY,horizon,OMFix,1.8597875097836467
HBY,horizon,SlackCost,5.361808204437201e-06
HBY,horizon,SystemCost,164.67536725826986
NEL,2020,Invest,2.2328034171449853
NEL,2020,OMFix,0.2994468816705311
NEL,2020,SlackCost,0.03151008426201877
NEL,2020,SystemCost,2.563760383077535
NEL,2030,CO2_emission,3.5952882004591597e-06
NEL,2030,FuelCost,3.5952882004591597e-06
NEL,2030,Invest,47.28465182630403
NEL,2030,OMFix,0.2994470046005734
NEL,2030,SlackCost,3.7011647120478646e-07
NEL,2030,SystemCost,47.584102796309274
NEL,2040,CO2_emission,7.661829668149387e-05
NEL,2040,FuelCost,7.661829668149387e-05
NEL,2040,Invest,40.3449480275317
NEL,2040,OMFix,0.33355822761716186
NEL,2040,SlackCost,2.0100953285636234e-06
NEL,2040,SystemCost,40.67858488354087
NEL,2050,CO2_emission,2.730150399885445
NEL,2050,FuelCost,2.730150399885445
NEL,2050,Invest,77.13955583239246
NEL,2050,OMFix,0.3335593965557694
NEL,2050,SlackCost,1.4841100474252368e-06
NEL,2050,SystemCost,80.20326711294372
NEL,horizon,CO2_emission,2.7302306134703267
NEL,horizon,FuelCost,2.7302306134703267
NEL,horizon,Invest,167.00195910337317
NEL,horizon,OMFix,1.2660115104440357
NEL,horizon,SlackCost,0.03151394858386596
NEL,horizon,SystemCost,171.0297151758714
NIS,2020,CO2_emission,0.22193130879604986
NIS,2020,FuelCost,0.22193130879604986
NIS,2020,Invest,12.153947390014373
NIS,2020,OMFix,0.4470425016342239
NIS,2020,SlackCost,0.4250935823947944
NIS,2020,SystemCost,13.24801478283944
NIS,2030,CO2_emission,0.10581727307613921
NIS,2030,FuelCost,0.10581727307613921
NIS,2030,Invest,83.22345616838578
NIS,2030,OMFix,0.44704278580121476
NIS,2030,SlackCost,3.700538079931174e-07
NIS,2030,SystemCost,83.77631659731695
NIS,2040,CO2_emission,8.94922719499159
NIS,2040,FuelCost,8.94922719499159
NIS,2040,Invest,125.01127545143788
NIS,2040,OMFix,0.4471360557866241
NIS,2040,SlackCost,2.0105256678225424e-06
NIS,2040,SystemCost,134.40764071274174
NIS,2050,CO2_emission,6.658604314479263
NIS,2050,FuelCost,6.658604314479263
NIS,2050,Invest,233.08090564841547
NIS,2050,OMFix,1.5864759913763127
NIS,2050,SlackCost,1.5159094859550086e-06
NIS,2050,SystemCost,241.3259874701805
NIS,horizon,CO2_emission,15.935580091343041
NIS,horizon,FuelCost,15.935580091343041
NIS,horizon,Invest,453.4695846582535
NIS,horizon,OMFix,2.9276973345983754
NIS,horizon,SlackCost,0.42509747888375615
NIS,horizon,SystemCost,472.75795956307866
OTG,2020,CO2_emission,3.2904992114835473e-06
OTG,2020,FuelCost,3.2904992114835473e-06
OTG,2020,Invest,16.986986285701043
OTG,2020,OMFix,0.8324015457529204
OTG,2020,SlackCost,1.1504937505045327e-06
OTG,2020,SystemCost,17.819392272446926
OTG,2030,CO2_emission,3.491279980611372e-06
OTG,2030,FuelCost,3.491279980611372e-06
OTG,2030,Invest,78.34871375445921
OTG,2030,OMFix,0.8324016555182924
OTG,2030,SlackCost,3.973563444766398e-07
OTG,2030,SystemCost,79.18111929861384
OTG,2040,CO2_emission,2.9428478092971665e-05
OTG,2040,FuelCost,2.9428478092971665e-05
OTG,2040,Invest,198.91226719458328
OTG,2040,OMFix,0.9812566336554249
OTG,2040,SlackCost,2.0186312825605044e-06
OTG,2040,SystemCost,199.89355527534806
OTG,2050,CO2_emission,3.59223959648862e-05
OTG,2050,FuelCost,3.59223959648862e-05
OTG,2050,Invest,217.50506196179566
OTG,2050,OMFix,0.9812574904345559
OTG,2050,SlackCost,1.7727443655841816e-06
OTG,2050,SystemCost,218.48635714737054
OTG,horizon,CO2_emission,7.213265324995278e-05
OTG,horizon,FuelCost,7.213265324995278e-05
OTG,horizon,Invest,511.7530291965392
OTG,horizon,OMFix,3.6273173253611932
OTG,horizon,SlackCost,5.3392257431258585e-06
OTG,horizon,SystemCost,515.3804239937793
TRN,2020,CO2_emission,344.54856777805264
TRN,2020,FuelCost,344.54856777805264
TRN,2020,Invest,57.474409564957114
TRN,2020,OMFix,0.4028905089424662
TRN,2020,SlackCost,1.1606426905709466e-06
TRN,2020,SystemCost,402.4258690125949
TRN,2030,CO2_emission,4.774643991409103
TRN,2030,FuelCost,4.774643991409103
TRN,2030,Invest,60.91631908855882
TRN,2030,OMFix,0.4175488330389124
TRN,2030,SlackCost,3.6897848749092767e-07
TRN,2030,SystemCost,66.10851228198533
TRN,2040,CO2_emission,19.86150978546357
TRN,2040,FuelCost,19.86150978546357
TRN,2040,Invest,109.87839375381176
TRN,2040,OMFix,0.6189442574713999
TRN,2040,SlackCost,2.010228946814531e-06
TRN,2040,SystemCost,130.35884980697568
TRN,2050,CO2_emission,6.276235249451655e-05
TRN,2050,FuelCost,6.276235249451655e-05
TRN,2050,Invest,166.98338724922564
TRN,2050,OMFix,0.845953157120438
TRN,2050,SlackCost,1.4984433141771943e-06
TRN,2050,SystemCost,167.8294046671419
TRN,horizon,CO2_emission,369.18478431727783
TRN,horizon,FuelCost,369.18478431727783
TRN,horizon,Invest,395.25250965655334
TRN,horizon,OMFix,2.2853367565732166
TRN,horizon,SlackCost,5.0382934390535995e-06
TRN,horizon,SystemCost,766.7226357686978
WEL,2020,CO2_emission,0.37664257309916227
WEL,2020,FuelCost,0.37664257309916227
WEL,2020,Invest,29.990788882453995
WEL,2020,OMFix,1.0615070552370152
WEL,2020,SlackCost,1.1606410846709277e-06
WEL,2020,SystemCost,31.428939671431255
WEL,2030,CO2_emission,5.222432960630974e-06
WEL,2030,FuelCost,5.222432960630974e-06
WEL,2030,Invest,161.64486375420378
