,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion
CAN,2050,Hydro,,,100,1
CAN,2050,OCGT,,,100,
CAN,2050,pv_central_fixed,,,1084,
CAN,2050,pv_central_track_azimuth,,,1074,
CAN,2050,pv_decentral,,,1.192,
CAN,2050,wind_offshore_floating,,,67.81,
CAN,2050,wind_offshore_foundation,,,25.38,
CAN,2050,wind_onshore,,,32.23,
CEN,1999,wind_onshore,0.0317,,,
CEN,2000,Hydro,0.399,,100,1
CEN,2004,wind_onshore,0.127,,,
CEN,2007,wind_onshore,0.093,,,
CEN,2011,wind_onshore,0.0485,,,
CEN,2020,BIO,,,100,1
CEN,2020,Battery,,,50,
CEN,2020,CCGT,,,100,1
CEN,2020,COAL,,,100,1
CEN,2020,DIE,,,100,1
CEN,2020,Electrolyser,,,100,
CEN,2020,GT,,,100,1
CEN,2020,H2_CCGT,,,100,
CEN,2020,H2_FC,,,100,
CEN,2020,H2_storage,,,50,
CEN,2020,Hydro,,,100,1
CEN,2020,OCGT,,,100,1
CEN,2020,pv_central_fixed,,,496.9,1
CEN,2020,pv_decentral,,,0.516,1
CEN,2020,wind_offshore_floating,,,6.462,1
CEN,2020,wind_offshore_foundation,,,2.038,1
CEN,2020,wind_onshore,0.2214,,16.59,1
CEN,2025,BIO,,,100,
CEN,2025,CCGT,,,100,
CEN,2025,COAL,,,100,
CEN,2025,DIE,,,100,
CEN,2025,Electrolyser,,,100,
CEN,2025,GT,,,100,
CEN,2025,H2_CCGT,,,100,
CEN,2025,H2_FC,,,100,
CEN,2025,Hydro,,,100,1
CEN,2025,OCGT,,,100,
CEN,2025,pv_central_fixed,,,496.9,
CEN,2025,pv_decentral,,,0.516,
CEN,2025,wind_offshore_floating,,,6.462,
CEN,2025,wind_offshore_foundation,,,2.038,
CEN,2025,wind_onshore,,,16.59,
CEN,2030,BIO,,,100,
CEN,2030,Battery,,,50,
CEN,2030,CCGT,,,100,
CEN,2030,COAL,,,100,
CEN,2030,DIE,,,100,
CEN,2030,Electrolyser,,,100,
CEN,2030,GT,,,100,
CEN,2030,H2_CCGT,,,100,
CEN,2030,H2_FC,,,100,
CEN,2030,Hydro,,,100,1
CEN,2030,OCGT,,,100,
CEN,2030,pv_central_fixed,,,496.9,
CEN,2030,pv_decentral,,,0.516,
CEN,2030,wind_offshore_floating,,,6.462,
CEN,2030,wind_offshore_foundation,,,2.038,
CEN,2030,wind_onshore,,,16.59,
CEN,2035,BIO,,,100,
CEN,2035,CCGT,,,100,
CEN,2035,COAL,,,100,
CEN,2035,DIE,,,100,
CEN,2035,Electrolyser,,,100,
CEN,2035,GT,,,100,
CEN,2035,H2_CCGT,,,100,
CEN,2035,H2_FC,,,100,
CEN,2035,H2_storage,,,50,
CEN,2035,Hydro,,,100,1
CEN,2035,OCGT,,,100,
CEN,2035,pv_central_fixed,,,496.9,
CEN,2035,pv_decentral,,,0.516,
CEN,2035,wind_offshore_floating,,,6.462,
CEN,2035,wind_offshore_foundation,,,2.038,
CEN,2035,wind_onshore,,,16.59,
CEN,2040,BIO,,,100,
CEN,2040,CCGT,,,100,
CEN,2040,COAL,,,100,
CEN,2040,DIE,,,100,
CEN,2040,Electrolyser,,,100,
CEN,2040,GT,,,100,
CEN,2040,H2_CCGT,,,100,
CEN,2040,H2_FC,,,100,
CEN,2040,Hydro,,,100,1
CEN,2040,OCGT,,,100,
CEN,2040,pv_central_fixed,,,496.9,
CEN,2040,pv_decentral,,,0.516,
CEN,2040,wind_offshore_floating,,,6.462,
CEN,2040,wind_offshore_foundation,,,2.038,
CEN,2040,wind_onshore,,,16.59,
CEN,2045,BIO,,,100,
CEN,2045,CCGT,,,100,
CEN,2045,COAL,,,100,
CEN,2045,DIE,,,100,
CEN,2045,Electrolyser,,,100,
CEN,2045,GT,,,100,
CEN,2045,H2_CCGT,,,100,
CEN,2045,H2_FC,,,100,
CEN,2045,Hydro,,,100,1
CEN,2045,OCGT,,,100,
CEN,2045,pv_central_fixed,,,496.9,
CEN,2045,pv_decentral,,,0.516,
CEN,2045,wind_offshore_floating,,,6.462,
CEN,2045,wind_offshore_foundation,,,2.038,
CEN,2045,wind_onshore,,,16.59,
CEN,2050,BIO,,,100,
CEN,2050,CCGT,,,100,
CEN,2050,COAL,,,100,
CEN,2050,DIE,,,100,
CEN,2050,Electrolyser,,,100,
CEN,2050,GT,,,100,
CEN,2050,H2_CCGT,,,100,
CEN,2050,H2_FC,,,100,
CEN,2050,H2_storage,,,50,
CEN,2050,Hydro,,,100,1
CEN,2050,OCGT,,,100,
CEN,2050,pv_central_fixed,,,496.9,
CEN,2050,pv_central_track_azimuth,,,496.9,
CEN,2050,pv_decentral,,,0.516,
CEN,2050,wind_offshore_floating,,,6.462,
CEN,2050,wind_offshore_foundation,,,2.038,
CEN,2050,wind_onshore,,,16.59,
GIS,2020,BIO,,,100,1
GIS,2020,Battery,,,50,
GIS,2020,CCGT,,,100,1
GIS,2020,COAL,,,100,1
GIS,2020,DIE,,,100,1
GIS,2020,Electrolyser,,,100,
GIS,2020,GT,,,100,1
GIS,2020,H2_CCGT,,,100,
GIS,2020,H2_FC,,,100,
GIS,2020,H2_storage,,,50,
GIS,2020,OCGT,,,100,1
GIS,2020,pv_central_fixed,,,,1
GIS,2020,pv_decentral,,,,1
GIS,2020,wind_offshore_floating,,,,1
GIS,2020,wind_offshore_foundation,,,,1
GIS,2020,wind_onshore,,,,1
GIS,2025,BIO,,,100,
GIS,2025,CCGT,,,100,
GIS,2025,COAL,,,100,
GIS,2025,DIE,,,100,
GIS,2025,Electrolyser,,,100,
GIS,2025,GT,,,100,
GIS,2025,H2_CCGT,,,100,
GIS,2025,H2_FC,,,100,
GIS,2025,OCGT,,,100,
GIS,2030,BIO,,,100,
GIS,2030,Battery,,,50,
GIS,2030,CCGT,,,100,
GIS,2030,COAL,,,100,
GIS,2030,DIE,,,100,
GIS,2030,Electrolyser,,,100,
GIS,2030,GT,,,100,
GIS,2030,H2_CCGT,,,100,
GIS,2030,H2_FC,,,100,
GIS,2030,OCGT,,,100,
GIS,2035,BIO,,,100,
GIS,2035,CCGT,,,100,
GIS,2035,COAL,,,100,
GIS,2035,DIE,,,100,
GIS,2035,Electrolyser,,,100,
GIS,2035,GT,,,100,
GIS,2035,H2_CCGT,,,100,
GIS,2035,H2_FC,,,100,
GIS,2035,H2_storage,,,50,
GIS,2035,OCGT,,,100,
GIS,2040,BIO,,,100,
GIS,2040,CCGT,,,100,
GIS,2040,COAL,,,100,
GIS,2040,DIE,,,100,
GIS,2040,Electrolyser,,,100,
GIS,2040,GT,,,100,
GIS,2040,H2_CCGT,,,100,
GIS,2040,H2_FC,,,100,
GIS,2040,OCGT,,,100,
GIS,2045,BIO,,,100,
GIS,2045,CCGT,,,100,
GIS,2045,COAL,,,100,
GIS,2045,DIE,,,100,
GIS,2045,Electrolyser,,,100,
GIS,2045,GT,,,100,
GIS,2045,H2_CCGT,,,100,
GIS,2045,H2_FC,,,100,
GIS,2045,OCGT,,,100,
GIS,2050,BIO,,,100,
GIS,2050,CCGT,,,100,
GIS,2050,COAL,,,100,
GIS,2050,DIE,,,100,
GIS,2050,Electrolyser,,,100,
GIS,2050,GT,,,100,
GIS,2050,H2_CCGT,,,100,
GIS,2050,H2_FC,,,100,
GIS,2050,H2_storage,,,50,
GIS,2050,OCGT,,,100,
HBY,2000,Hydro,0.1422,,100,1
HBY,2004,DIE,0.155,,,
HBY,2005,BIO,0.0128,,,
HBY,2020,BIO,,,100,1
HBY,2020,Battery,,,50,
HBY,2020,CCGT,,,100,1
HBY,2020,COAL,,,100,1
HBY,2020,DIE,,,100,1
HBY,2020,Electrolyser,,,100,
HBY,2020,GT,,,100,1
HBY,2020,H2_CCGT,,,100,
HBY,2020,H2_FC,,,100,
HBY,2020,H2_storage,,,50,
HBY,2020,Hydro,,,100,1
HBY,2020,OCGT,,,100,1
HBY,2020,pv_central_fixed,,,259.2,1
HBY,2020,pv_decentral,,,0.2643,1
HBY,2020,wind_offshore_floating,,,15.64,1
HBY,2020,wind_offshore_foundation,,,5.583,1
HBY,2020,wind_onshore,,,10.3,1
HBY,2025,BIO,,,100,
HBY,2025,CCGT,,,100,
HBY,2025,COAL,,,100,
HBY,2025,DIE,,,100,
HBY,2025,Electrolyser,,,100,
HBY,2025,GT,,,100,
HBY,2025,H2_CCGT,,,100,
HBY,2025,H2_FC,,,100,
HBY,2025,Hydro,,,100,1
HBY,2025,OCGT,,,100,
HBY,2025,pv_central_fixed,,,259.2,
HBY,2025,pv_decentral,,,0.2643,
HBY,2025,wind_offshore_floating,,,15.64,
HBY,2025,wind_offshore_foundation,,,5.583,
HBY,2025,wind_onshore,,,10.3,
HBY,2030,BIO,,,100,
HBY,2030,Battery,,,50,
HBY,2030,CCGT,,,100,
HBY,2030,COAL,,,100,
HBY,2030,DIE,,,100,
HBY,2030,Electrolyser,,,100,
HBY,2030,GT,,,100,
HBY,2030,H2_CCGT,,,100,
HBY,2030,H2_FC,,,100,
HBY,2030,Hydro,,,100,1
HBY,2030,OCGT,,,100,
HBY,2030,pv_central_fixed,,,259.2,
HBY,2030,pv_decentral,,,0.2643,
HBY,2030,wind_offshore_floating,,,15.64,
HBY,2030,wind_offshore_foundation,,,5.583,
HBY,2030,wind_onshore,,,10.3,
HBY,2035,BIO,,,100,
HBY,2035,CCGT,,,100,
HBY,2035,COAL,,,100,
HBY,2035,DIE,,,100,
HBY,2035,Electrolyser,,,100,
HBY,2035,GT,,,100,
HBY,2035,H2_CCGT,,,100,
HBY,2035,H2_FC,,,100,
HBY,2035,H2_storage,,,50,
HBY,2035,Hydro,,,100,1
HBY,2035,OCGT,,,100,
HBY,2035,pv_central_fixed,,,259.2,
HBY,2035,pv_decentral,,,0.2643,
HBY,2035,wind_offshore_floating,,,15.64,
HBY,2035,wind_offshore_foundation,,,5.583,
HBY,2035,wind_onshore,,,10.3,
HBY,2040,BIO,,,100,
HBY,2040,CCGT,,,100,
HBY,2040,COAL,,,100,
HBY,2040,DIE,,,100,
HBY,2040,Electrolyser,,,100,
HBY,2040,GT,,,100,
HBY,2040,H2_CCGT,,,100,
HBY,2040,H2_FC,,,100,
HBY,2040,Hydro,,,100,1
HBY,2040,OCGT,,,100,
HBY,2040,pv_central_fixed,,,259.2,
HBY,2040,pv_decentral,,,0.2643,
HBY,2040,wind_offshore_floating,,,15.64,
HBY,2040,wind_offshore_foundation,,,5.583,
HBY,2040,wind_onshore,,,10.3,
HBY,2045,BIO,,,100,
HBY,2045,CCGT,,,100,
HBY,2045,COAL,,,100,
HBY,2045,DIE,,,100,
HBY,2045,Electrolyser,,,100,
HBY,2045,GT,,,100,
HBY,2045,H2_CCGT,,,100,
HBY,2045,H2_FC,,,100,
HBY,2045,Hydro,,,100,1
HBY,2045,OCGT,,,100,
HBY,2045,pv_central_fixed,,,259.2,
HBY,2045,pv_decentral,,,0.2643,
HBY,2045,wind_offshore_floating,,,15.64,
HBY,2045,wind_offshore_foundation,,,5.583,
HBY,2045,wind_onshore,,,10.3,
HBY,2050,BIO,,,100,
HBY,2050,CCGT,,,100,
HBY,2050,COAL,,,100,
HBY,2050,DIE,,,100,
HBY,2050,Electrolyser,,,100,
HBY,2050,GT,,,100,
HBY,2050,H2_CCGT,,,100,
HBY,2050,H2_FC,,,100,
HBY,2050,H2_storage,,,50,
HBY,2050,Hydro,,,100,1
HBY,2050,OCGT,,,100,
HBY,2050,pv_central_fixed,,,259.2,
HBY,2050,pv_central_track_azimuth,,,259.2,
HBY,2050,pv_decentral,,,0.2643,
HBY,2050,wind_offshore_floating,,,15.64,
HBY,2050,wind_offshore_foundation,,,5.583,
HBY,2050,wind_onshore,,,10.3,
NEL,2000,Hydro,0.0453,,100,1
NEL,2010,wind_onshore,0.00075,,,
NEL,2011,wind_onshore,0.001,,,
NEL,2014,wind_onshore,0.00066,,,
NEL,2020,BIO,,,100,1
NEL,2020,Battery,,,50,
NEL,2020,CCGT,,,100,1
NEL,2020,COAL,,,100,1
NEL,2020,DIE,,,100,1
NEL,2020,Electrolyser,,,100,
NEL,2020,GT,,,100,1
NEL,2020,H2_CCGT,,,100,
NEL,2020,H2_FC,,,100,
NEL,2020,H2_storage,,,50,
NEL,2020,Hydro,,,100,1
NEL,2020,OCGT,,,100,1
NEL,2020,pv_central_fixed,,,476.7,1
NEL,2020,pv_decentral,,,0.328,1
NEL,2020,wind_offshore_floating,,,92.84,1
NEL,2020,wind_offshore_foundation,,,13.35,1
NEL,2020,wind_onshore,,,14.76,1
NEL,2025,BIO,,,100,
NEL,2025,CCGT,,,100,
NEL,2025,COAL,,,100,
NEL,2025,DIE,,,100,
NEL,2025,Electrolyser,,,100,
NEL,2025,GT,,,100,
NEL,2025,H2_CCGT,,,100,
NEL,2025,H2_FC,,,100,
NEL,2025,Hydro,,,100,1
NEL,2025,OCGT,,,100,
NEL,2025,pv_central_fixed,,,476.7,
NEL,2025,pv_decentral,,,0.328,
NEL,2025,wind_offshore_floating,,,92.84,
NEL,2025,wind_offshore_foundation,,,13.35,
NEL,2025,wind_onshore,,,14.76,
NEL,2030,BIO,,,100,
NEL,2030,Battery,,,50,
NEL,2030,CCGT,,,100,
NEL,2030,COAL,,,100,
NEL,2030,DIE,,,100,
NEL,2030,Electrolyser,,,100,
NEL,2030,GT,,,100,
NEL,2030,H2_CCGT,,,100,
NEL,2030,H2_FC,,,100,
NEL,2030,Hydro,,,100,1
NEL,2030,OCGT,,,100,
NEL,2030,pv_central_fixed,,,476.7,
NEL,2030,pv_decentral,,,0.328,
NEL,2030,wind_offshore_floating,,,92.84,
NEL,2030,wind_offshore_foundation,,,13.35,
NEL,2030,wind_onshore,,,14.76,
NEL,2035,BIO,,,100,
NEL,2035,CCGT,,,100,
NEL,2035,COAL,,,100,
NEL,2035,DIE,,,100,
NEL,2035,Electrolyser,,,100,
NEL,2035,GT,,,100,
NEL,2035,H2_CCGT,,,100,
NEL,2035,H2_FC,,,100,
NEL,2035,H2_storage,,,50,
NEL,2035,Hydro,,,100,1
NEL,2035,OCGT,,,100,
NEL,2035,pv_central_fixed,,,476.7,
NEL,2035,pv_decentral,,,0.328,
NEL,2035,wind_offshore_floating,,,92.84,
NEL,2035,wind_offshore_foundation,,,13.35,
NEL,2035,wind_onshore,,,14.76,
NEL,2040,BIO,,,100,
NEL,2040,CCGT,,,100,
NEL,2040,COAL,,,100,
NEL,2040,DIE,,,100,
NEL,2040,Electrolyser,,,100,
NEL,2040,GT,,,100,
NEL,2040,H2_CCGT,,,100,
NEL,2040,H2_FC,,,100,
NEL,2040,Hydro,,,100,1
NEL,2040,OCGT,,,100,
NEL,2040,pv_central_fixed,,,476.7,
