node,commodity,upper,used,gap,rel_use
AKL,CH4,1155.7431937829665,0.0,1155.7431937829665,0.0
AKL,Gas_bio,60.82858914647215,60.83200091858308,-0.0034117721109296895,1.0000560882992489
AKL,H2,926.4144100137842,0.0,926.4144100137842,0.0
AKL,LF_bio,155.09119207565993,155.1000001583635,-0.008808082703581022,1.0000567929267015
AKL,REfuel,1137.3354085548394,0.0,1137.3354085548394,0.0
AKL,Wood,6703.96597652154,6703.999998468344,-0.034021946803477476,1.0000050748984888
BOP,CH4,473.95614669536064,0.0,473.95614669536064,0.0
BOP,Gas_bio,24.945060352387443,24.941000959082864,0.004059393304579828,0.9998372666472947
BOP,H2,438.460633059931,0.0,438.460633059931,0.0
BOP,LF_bio,53.977184332742446,53.98000014254804,-0.002815809805596814,1.000052166667091
BOP,REfuel,395.83268510677794,0.0,395.83268510677794,0.0
BOP,Wood,1305.17377051032,1305.000006981531,0.1737635287890953,0.999866865598501
CAN,CH4,2590.0985797177486,0.0,2590.0985797177486,0.0
CAN,Gas_bio,136.3209778798807,136.32900101876672,-0.008023138886017023,1.0000588547633005
CAN,H2,558.760790543687,0.0,558.760790543687,0.0
CAN,LF_bio,90.08757358063899,87.73000013200463,2.357573448634355,0.9738302037125681
CAN,REfuel,660.6422062580192,0.0,660.6422062580192,0.0
CAN,Wood,2678.5959905821483,131.40001345307192,2547.1959771290763,0.04905555519199979
CEN,CH4,1231.01315149317,0.0,1231.01315149317,0.0
CEN,Gas_bio,64.7901658680619,64.79000030267525,0.00016556538665213338,0.9999974445907889
CEN,H2,154.45731737900738,0.0,154.45731737900738,0.0
CEN,LF_bio,25.418524597693015,25.4200001687705,-0.0014755710774849717,1.000058051012041
CEN,REfuel,186.40251371641546,0.0,186.40251371641546,0.0
CEN,Wood,991.877612486277,991.9000072755357,-0.022394789258669334,1.0000225781779695
HBY,CH4,388.9012061988875,0.0,388.9012061988875,0.0
HBY,Gas_bio,20.46848453678353,19.027001251079547,1.4414832857039848,0.9295754757459683
HBY,H2,214.5680359711568,0.0,214.5680359711568,0.0
HBY,LF_bio,32.7182740711955,25.240000169458416,7.4782739017370865,0.7714343401652471
HBY,REfuel,239.9340098554337,0.0,239.9340098554337,0.0
HBY,Wood,893.631616041772,693.800008883582,199.83160715818997,0.776382567972115
NEL,CH4,183.48056799976433,0.0,183.48056799976433,0.0
NEL,Gas_bio,9.656871999987592,3.4122021603935204,6.244669839594072,0.3533444536075351
NEL,H2,216.97497974062898,0.0,216.97497974062898,0.0
NEL,LF_bio,38.339378135522054,13.42000021348589,24.919377922036162,0.3500317654096753
NEL,REfuel,281.1554396604951,0.0,281.1554396604951,0.0
NEL,Wood,756.385327119661,264.4000116824954,491.98531543716564,0.3495572986447779
NIS,CH4,346.715094756454,0.0,346.715094756454,0.0
NIS,Gas_bio,18.2481628819186,18.25000041345363,-0.0018375315350311894,1.0001006967959964
NIS,H2,92.05654097604426,0.0,92.05654097604426,0.0
NIS,LF_bio,14.748955111457805,14.750000206282522,-0.001045094824716486,1.0000708589060594
NIS,REfuel,108.15900415069058,0.0,108.15900415069058,0.0
NIS,Wood,3588.35230635368,3588.0000054582115,0.3523008954684883,0.9999018209848446
OTG,CH4,1488.0638406918217,0.0,1488.0638406918217,0.0
OTG,Gas_bio,78.31914951009605,0.9468025668286822,77.37234694326737,0.012089030240383684
OTG,H2,279.14050315141776,0.0,279.14050315141776,0.0
OTG,LF_bio,44.13309482087057,12.530000217052915,31.603094603817652,0.2839139259983977
OTG,REfuel,323.64269535305084,0.0,323.64269535305084,0.0
OTG,Wood,1356.093353962576,402.10000983080977,953.9933441317662,0.29651351704943646
TRN,CH4,2869.63285124235,0.0,2869.63285124235,0.0
TRN,Gas_bio,151.033307960123,151.00000023721688,0.033307722906130266,0.9997794676991719
TRN,H2,86.73813325211194,0.0,86.73813325211194,0.0
TRN,LF_bio,14.935784720435016,14.940000204730861,-0.004215484295844618,1.0002822405635023
TRN,REfuel,109.52908794985679,0.0,109.52908794985679,0.0
TRN,Wood,488.893638560969,488.90000928590456,-0.006370724935550243,1.000013030901679
WEL,CH4,109.54039129236847,0.0,109.54039129236847,0.0
WEL,Gas_bio,5.76528375222992,5.765801695876531,-0.0005179436466109522,1.0000898383616263
WEL,H2,374.59542782667444,0.0,374.59542782667444,0.0
WEL,LF_bio,69.8821523972714,69.88000012680305,0.0021522704683434313,0.9999692014284833
WEL,REfuel,512.4691175799903,0.0,512.4691175799903,0.0
WEL,Wood,2088.54875045924,2089.0000060227935,-0.45125556355333174,1.0002160617813944
WTO,CH4,1501.06749563279,0.0,1501.06749563279,0.0
WTO,Gas_bio,79.0035524017261,79.00000027612393,0.0035521256021695535,0.9999550384065756
WTO,H2,254.8963867424411,0.0,254.8963867424411,0.0
WTO,LF_bio,42.54751410598249,42.550000149985365,-0.002486044002871779,1.0000584298296882
WTO,REfuel,312.01510344387157,0.0,312.01510344387157,0.0
WTO,Wood,6036.28087740178,6036.000010165927,0.2808672358532931,0.9999534701513138
global,Gas_bio,0.0,564.2938118000483,-564.2938118000483,
global,LF_bio,0.0,515.5400018894611,-515.5400018894611,
global,Wood,0.0,22694.500087512413,-22694.500087512413,
