,,,,,perFlow
SlackCost,global,2020,Slack,Elec,10
SlackCost,global,2025,Slack,Elec,10
SlackCost,global,2030,Slack,Elec,10
SlackCost,global,2035,Slack,Elec,10
SlackCost,global,2040,Slack,Elec,10
SlackCost,global,2045,Slack,Elec,10
SlackCost,global,2050,Slack,Elec,10
