,,,,,perUnitBuild,perUnitDecom,perUnitTotal,useAnnuity,amorTime,interest
OMFix,global,horizon,H2_FC,2025,,,5,,,
OMFix,global,horizon,H2_FC,2030,,,5,,,
OMFix,global,horizon,H2_FC,2035,,,5,,,
OMFix,global,horizon,H2_FC,2040,,,5,,,
OMFix,global,horizon,H2_FC,2045,,,5,,,
OMFix,global,horizon,H2_FC,2050,,,5,,,
OMFix,global,horizon,H2_storage,2020,,,0.2056,,,
OMFix,global,horizon,H2_storage,2035,,,0.2056,,,
OMFix,global,horizon,H2_storage,2050,,,0.2056,,,
OMFix,global,horizon,Hydro,1950,,,76.8,,,
OMFix,global,horizon,Methanizer,2020,,,22.32,,,
OMFix,global,horizon,Methanizer,2030,,,12.36,,,
OMFix,global,horizon,Methanizer,2040,,,10.04,,,
OMFix,global,horizon,Methanizer,2050,,,8.44,,,
OMFix,global,horizon,OCGT,1950,,,9.168,,,
OMFix,global,horizon,OCGT,2030,,,9.168,,,
OMFix,global,horizon,geoth,1950,,,79.52,,,
OMFix,global,horizon,pv_central_fixed,1950,,,11.2,,,
OMFix,global,horizon,pv_central_fixed,2030,,,7.6,,,
OMFix,global,horizon,pv_central_fixed,2040,,,6.4,,,
OMFix,global,horizon,pv_central_fixed,2050,,,5.8,,,
OMFix,global,horizon,pv_decentral,1950,,,17.4,,,
OMFix,global,horizon,pv_decentral,2030,,,11.4,,,
OMFix,global,horizon,pv_decentral,2040,,,9.2,,,
OMFix,global,horizon,pv_decentral,2050,,,8.2,,,
OMFix,global,horizon,wind_offshore_floating,1950,,,50.88,,,
OMFix,global,horizon,wind_offshore_floating,2030,,,54.89,,,
OMFix,global,horizon,wind_offshore_floating,2040,,,52.03,,,
OMFix,global,horizon,wind_offshore_floating,2050,,,51.12,,,
OMFix,global,horizon,wind_offshore_foundation,1950,,,42.4,,,
OMFix,global,horizon,wind_offshore_foundation,2030,,,45.74,,,
OMFix,global,horizon,wind_offshore_foundation,2040,,,43.36,,,
OMFix,global,horizon,wind_offshore_foundation,2050,,,42.6,,,
OMFix,global,horizon,wind_onshore,1950,,,26.6,,,
OMFix,global,horizon,wind_onshore,2030,,,20.8,,,
OMFix,global,horizon,wind_onshore,2040,,,19.6,,,
OMFix,global,horizon,wind_onshore,2050,,,19.2,,,
