,,,,,perLinkBuild,perLinkDecom,perLinkTotal,perFlow,perFlowAlong,perFlowAgainst,useAnnuity,amorTime,interest
Invest,global,horizon,HV,2050,180,,0,,,,1,40,0.06
OMFix,global,horizon,HV,2050,0,,1.8,,,,0,0,0
